en,zh-hant,zh-hans
thinning process,細線化處理,
thin-wire Ethernet,細線以太網,細線以太網
third boundary value problem,第三邊界值問題,
third generation,第三代,
third generation computer,第三代電腦,第三代計算機
third generation computer language,第三代計算機語言,
third generation hardware,第三代硬體,
third generation language,第三代語言,第三代語言
third generation languages,第三代語言,
third generation logical organization,第三代邏輯組織,
third generation software,第三代軟體,
third level address,第三階位址,
third level inner-macro-call,第三階內部巨集呼叫,
third level protocol,三階協定,
third level storage,第三級儲存,
third level structure,第三階結構,
third normal form,第三正規形式,第三范式
third normal form,第三正規形式,
third party,第三團體,第三方
third-order servo problem,第三序伺服問題,
thirty-nine feature code,卅九特徵碼,
thirty-two bit system,32位元系統,
thrashing,猛移；往復移動,系統顛簸
thread,線；穿線；引線,線程
thread control block,引線控制塊,線程控制塊
thread link,穿線鏈接,
thread list of register descriptions,暫存器描述線串列,
thread scheduling,引線排程,線程調度
thread structure,引線結構,線程結構
thread trees,穿線的樹,
threaded binary tree,穿線二元樹,
threaded code,穿線碼,
threaded file,穿線檔案,
threaded hole,穿線孔,
threaded link,穿線鏈接,
threaded list,穿線串列,
threaded tree,穿線樹,
threaded tree representation,穿線樹表示,
threading,穿線,
thread-testing approach,線測方式,
threat,威脅,威脅
threat analysis,威脅分析,威脅分析
threat monitoring,威脅監控,威脅監控
three channel bidirectional bus switch,三通道雙向匯流排開關,
three colour process,三色處理,
three Cs model,3C 模型,3C 模型
three dimensional,三維,
three dimensional analog computer,三維類比計算機,
three dimensional array,三維陣列,
three dimensional computer graphic,三維計算機圖形,
three dimensional equation,三維方程式,
three dimensional four wire,三維四線,
three dimensional imaging,三維成像,
three dimensional interconnection,三維互連,
three dimensional package,三維組件,
three dimensional structure,三維結構,
three dimensional three wire,三維三線,
three dimensional window,三維視窗,三維窗口
three figure decimal fraction,三數十進分數,
three hole core,三孔磁心,
three item storage,三項目儲存器,
three junction transistor,三接面電晶體,
three layered neural network,三層神經網路,
three phase,三相,
three phase clock pulse,三相時鐘脈衝,
three point bond,三點連接,
three stage network,三級網路,三級網絡
three time estimates,三時間估計,
three wire system,三線系統,
three-address,三址,
three-address code,三址碼,
three-address instruction,三址指令,
three-address machine,三址機,
three-axis body,三軸體,
three-axis satellite,三軸衛星,
three-axis stabilization,三軸穩定,
three-bit byte,三位位元組,
three-dimension display,三維顯示,
three-dimension graphics support,三維圖形支援,
three-dimension,三維,
three-dimensional scanner,三維掃描儀,三維掃描儀
threefold representation,三重表示法,
three-forked jump,三叉跳越,
three-input adder,三輸入加法器,
three-input subtracter,三輸入減法器,
three-layer construction logic circuit,三層構造邏輯電路,
three-length recording,三長度記錄,
three-level addressing,三階定址,
three-level distributed system,三級分散系統,
three-level tree,三階樹,
three-phase commitment protocol,三階段提交協定,三[階]段提交協議
three-phase two-dimensional bubble shift register,三相二維泡移位暫存器,
three-place accuracy,三位準確度,
three-plus-one address,三加一位址,
three-plus-one address instruction,三加一位址指令,
three-point perspectiveness,三點透視,三點透視
three-port networks,三埠網路,
three-position control,三位置控制,
three-position key,三位置電鍵,
three-position modulation,三位置調變,
three-row keyboard,三列鍵盤,
three-satisfiability,3元可滿足性,3元可滿足性
three-set space diversity,三重空間分集,
three-sigma limit,三Σ極限,
three-stable state device,三穩態裝置,
three-stage rocket,三級火箭,
three-state buffer,三態緩衝器,
three-state control,三態控制,
three-state gate,三態閘,
three-state logic,三態邏輯,
three-unit code,三單位碼,
three-value logic,三值邏輯,
three-value simulation,三值模擬,
three-way layout,三路布局,
threshold,定限,閾值
threshold circuit,定限電路,
threshold condition,定限條件,
threshold current,定限電流,
threshold decoder,閥值解碼器,
threshold decoding,定限解碼,
threshold element,定限元件,
threshold extension demodulator,定限延伸解調器,
threshold frequency,定限頻率,
threshold function,定限功能；定限函數,
threshold gate,定限閘,
threshold learning process,閥值學習過程,
threshold level,定限位準,
threshold logic,定限邏輯,閾值邏輯
threshold logic circuit,定限邏輯電路,
threshold logic element,定限邏輯元件,
threshold logic network,定限邏輯網路,
threshold mode,定限模,
threshold of audibility,聞閥,
threshold operation,閥值運算；定限運算,
threshold quantization,閥值量化,
threshold search,閥值搜尋,閾值搜索
threshold value,閥值,
threshold voltage,定限電壓,
threshold voltage generator,定限電壓產生器,
thresholded gradient,定限梯度,
thresholding,定限,
through capacity,通過容量,
through connection,轉接,
through connection point,轉接點,
through connection station,轉接站,
through group,通過群,
through line,通過線,
through path,直通路徑,
through rate,通過速率,
through trunk supervision,貫通幹線監督,
through-hole,通孔,
through-hole plating,通孔鍍敷,
throughput,通量；解題能力；輸貫,"吞吐量, *通過量"
throughput capability,通量能力,
throughput capacity,通量容量,吞吐能力
throughput class negotiation,通量類協商,
throughput efficiency,通量效率,
throughput performance turnaround time,通量效能周轉時間,
throughput rate,通量率,
throughput time,通量時間,
through-the-window VR,視窗式虛擬實境,窗口式虛擬現實
throw-away character,丟棄字元,
throw-away compiling,丟棄編譯,
throw-down study,擲下研究,
throw-out,斷開,
thruput,通量；解題能力,
Thue system,圖厄系統,
thumb wheel,姆指旋輪；姆指旋轉輪,
thumb wheel control,姆指旋輪轉控制器,
thumb wheel switch,拇指旋輪開關,
thumbscrew,姆指螺釘,
thyratron,閘流管,
thyristor,閘流體,
thyristor cell,閘流體單元,
Tibetan,藏文,藏文
TICCIT system,計算機輔助教學系統,
tick,刻點,
tick mark,刻點標示,
ticket converter,票卷據轉換器,
ticket vendor,自動售票機,
ticking,標示記號,
tie breaker,連結斷路器,
tie line,連結線,
tie link,連結鏈接,
tie point,連結點,
tie station,轉接台,
tie trunk,連結幹線,
tier,排；定向天線元件,
tight alignment,精調,
tight consistency,緊密一致性,緊密一致性
tight constraint,緊密約束,
tight coupling,緊密耦合,
tight loop waiting,緊密迴路等待,
tight master/slave,緊耦合主從同步系統；緊密主從,
tightening rod,繫緊棒,
tightly coupled,緊耦合,
tightly coupled interprocessor,緊耦合處理機,
tightly coupled multiprocessing,緊耦合多重處理,
tightly coupled multiprocessor,緊耦合多處理機,
tightly coupled processor,緊耦合處理機,
tightly coupled system,緊耦合系統,緊[密]耦合系統
tiling window,舖磚式視窗,
tilt/rotate,傾斜或旋轉,
tilting mirror,傾斜反射鏡,
time,時間,時間
time  control driver,時控驅動器,
time address code,時間位址碼,
time advancing algorithm,時間導前演算法,
time analysis,時間分析,
time analysis program,時間分析程式,
time and attendance,時間及出勤,
time and motion studies,時間動作研究,時間動作研究
time automated grid,自動時柵,
time base circuit,時基電路,
time base code,時基碼,
time base control,時基控制,
time base corrector,時基校正器,
time base counter,時基計數器,
time base error,時基誤差,
time base generator,時基產生器,
time base,時基,
time bomb,定時炸彈,定時炸彈
time bus,時間匯流排,
time case,時間情況,
time cell,時間單元,
time chart,時間圖,
time circuit,時間電路,
time clock circuit,定時時鐘電路,
time clock,定時時鐘,
time code generator,時間碼產生器,
time code reader,時間碼閱讀機,
time code signal,時間碼信號,
time code,時間碼,
time coding,時間編碼,
time complexity,時間複雜度,時間復雜度
time component complexity,時間分量複雜性,
time compression coding,時間壓縮編碼,
time compression multiplex,時間壓縮多工,
time constant,時間常數,時間常數
time constant term,時間常數項,
time constraint,時間約束,時間約束
time control,時控,
time control conversational,時控交談式,
time control pulse,時控脈衝,
time control task,時控任務,
time controlled gain,時間受控增益,
time correlation system,時間相關系統,
time critical process,時間臨界處理,
time data card,時間資料卡,
time delay,時延,時延
time delay circuit,延時電路,
time delay device,延時裝置,
time delay difference,時間延遲差分,
time delay distortion,延時失真,
time delay neural network,延時類神經網路,
time delay relay,延時繼電器,
time delay switch,延時開關,
time delay,時間延遲,
time demodulation,時間解調,
time derived channel,時間道出通道,
time discriminator,時間鑑別器,
time displacement,時間位移,
time display,時間顯示,
time divided network,時分網路,
time division,時分,
time division channel,時分通道,
time division common control,時分共用控制,
time division control access,時分控制存取,
time division data link,時分資料鏈路,
time division exchange,時分交換,
time division modulation,時分調變,
time division multiple access,時分多重存取,
time division multiple address,時分多重位址,
time division multiple carrier,時分多重載波,
time division multiplex,時分多工,
time division multiplex bus,時分多工匯流排,
time division multiplex channel,時分多工通道,
time division multiplex communication,時分多工通訊,
time division multiplex transmission,時分多工傳輸,
time division multiplexer unit,時分多工器單元,
time division multiplexer,時分多工器,
time division multiplexing,時分多工,
time division multiplexing scheme,時分多工方案,
time division multiplier,時分乘數,
time division network,時分網路,
time division switch,時分交換,
time division switching,時分交換,
time division switching network,時分交換網路,
time division switching system,時分交換系統,
time domain,時域,時域
time domain addressing,時域定址,
time domain analysis,時域分析,
time domain design,時域設計,
time domain equalizer,時域均衡器；時域等化器,
time domain experiment design,時域實驗設計,
time domain filter,時域過濾器,
time domain multiple access system,時域多重存取系統,
time domain multiple access technique,時域多路存取技術；時域多重存取技術,
time domain reflectometer,時域反射計,時域反射儀
time domain reflector,時間域反射器,
time domain specification,時域規格,
time domain synthesizer,時域合成器,
time duration,持續時間,
time effectiveness ratio,時間效益比,
time enablement,允許時間,
time encoding,時間編碼,
time factor,時間因數,
time fence,時間籬,
time flow mechanism,時間流機構,
time forecasting method,時間預測方法,
time frame,時段,
time gate,時間閘,
time gauge,定時計,
time hierarchy,時間階層,時間譜系
time history file,時間歷史檔案,
time impulse distribution,時間脈衝分配,
time index,時間索引,
time integrating optical processor,時間整合光處理機,
time interleaving,時間交插,
time interval,時間間隔,
time interval bell,時間間隔鈴,
time interval conversion,時間間隔轉換,
time interval counter,時間間隔計數器,
time interval measurement,時間間隔測量,
time interval optimization,時間間隔最佳化,
time invariant channel,時間不變性通道,
time invariant operation,時間不變性運算,
time invariant system,時間不變系統,
time isolation unit,時間隔離裝置,
time jitter,時間抖動,
time keeping,記時,
time keeping system,記時系統,
time lag,時滯,
time lag action,時滯作用,
time lag system,時滯系統,
time lapse cinematography,慢速攝影術,
time lapse recorder,慢速拍攝記錄器,
time level,時間位準,
time limit,時間限制,
time loss,時間損耗,
time mapping,時間對映,
time margin,時間容限,
time mark,時標,
time mark generator,時標產生器,
time marker,時標,
time marker frequency,時標頻率,
time marker generator,時標產生器,
time measurement unit,時間測量裝置,
time modulation,時間調變,
time modulation sideband,時間調變邊帶,
time monitor,時間監視器,
time multiplex,時間多工,
time multiplex transmission,時間多工傳輸,
time multiplexed,時間多工化,
time multiplexed communication channel,時間多工通訊通道,
time multiplexed system,時間多工系統,
time multiplexing dual-microprocessor system,時間多工雙微處理機系統,
time multiplexor channel,時間多工器通道,
time of filling,填檔時間,
time of lag,滯後時間,
time of recovery,恢復時間,
time opening,打開時間,
time over,超時,
time over check,超時檢查,
time overlapping,時間重疊,時間重疊
time parameter,時間參數,
time penalty,時間懲罰,
time period of supply,供應週期,
time Petri net,時間 Petri net,時間佩特里網
time phase,時間相位,
time phased allocation,時相配置,
time phased order point,時相訂購點,
time phased requirements,時相需求,
time prearranged assignment,時間預分配,
time preassign,時間預分配,
time proportioning controller,時間比例控制器,
time pulse,時間脈衝,
time pulse distribution,時間脈衝分配,
time pulse distributor,時脈分配器,
time pulse generator,時間脈波產生器,
time quantum,時間量子,時間量子
time quantum method,時間分段法；限量方法,
time redundancy,時間冗餘,
time register,時間暫存器,
time related,與時間相關的,
time related running balance,時間相關運行平衡,
time relay,時間繼電器,
time remaining,剩餘時間,
time response,時間回應,
time scale,時間標度,
time scale factor,時間標度因子；時標度因數,
time schedule,時間排程,
time schedule controller,時間排程控制器,
time selection,時間選擇,
time sequence model,時間序列模型,時間序列模型
time sequencing,時間定序,
time series,時間序列,
time series analysis,時間序列分析,
time series package,時間級數套裝軟體,
time series prediction,時間序列預測,
time series techniques,時間序列技術,
time series vector,時間序列向量,
time sharing,分時,分時
time signal,時間信號,
time slice,時間片斷,時間片
time slice control,時間截分控制,
time slice interval,時間片間隔,
time slice time-sharing,時間片分時,
time slicing,時間截分,時間分片
time slot,時間槽,"時隙, *時槽"
time slot interchange,時間槽交換,
time slot width,時間槽寬度,
time space problem,時間空間問題,
time space trade-off,時空折衷；時空妥協,
time spread code,時間展開碼,
time spreading process,時間展寬處理,
time stamp,時間戳記,
time state,時態,
time step,時間步驟,
time switching multiplex,時換多工,
time synchronization problem,時間同步問題,時間同步問題
time system,時間體系統,
time table,時間表,
time table memory,時間表記憶體,
time tolerance,時間容差,
time trade-off,時間折衷,
time usage,時間使用,
time variable data,時間變數資料,
time write interval,寫入時間間隔,
time zone,時區,
time-bounded Turing machine,時間有界杜林機,時間有界圖靈機
timed Boolean function,時變布林函數,時變布爾函數
timed Petri net,時間 Petri net,時間佩特里網
timed task,定時任務,定時任務
timed token rotation protocol,定時符記旋轉協定,
timed transition,時間變遷,時間變遷
time-division multiplexing,時分多工,時分復用
time-mapping asynchronous simulation,時間映射異步模擬,
time-of-day clock,日的時鍾；日曆鐘,
time-of-day zone correction,時區校正,
time-optimal control,時間最佳控制,
time-out,暫停；時間超出,超時
time-out circuit,超時電路,
time-out control,超時控制,超時控制
time-out error,超時錯誤,
time-out monitoring,逾時監視,
time-out period,超時期間,
time-pulse distributor,計時脈波分配器,
timer,計時器,"計時器, *定時器"
timer control table,計時器控制表,
timer interrupt,計時器中斷,
time-share,分時,分時
time-share network,分時網路,
time-shared bus,分時匯流排,
time-shared control,分時控制,
time-shared data management system,分時資料管理系統,
time-shared interactive computer controlled information television,分時交談式電腦控制資訊電視,
time-shared multiplexor,分時多工器,
time-shared multiplexor channel,分時多工器通道,
time-shared relational associative memory program,分時關連式結合記憶體計劃,
time-shared system,分時系統,
time-sharing,分時,分時
time-sharing accounting,時間分享會計,
time-sharing allocation,時間分享配置,
time-sharing allocation of hardware resources,硬體資源的時間分享配置,
time-sharing allocator,時間共享分配器,
time-sharing application,分時應用,
time-sharing computer,分時電腦,
time-sharing computer system,分時電腦系統,
time-sharing control task,分時控制任務,分時控制任務
time-sharing driver,分時驅動器,分時驅動程序
time-sharing dynamic allocator,分時動態分配器,分時動態分配程序
time-sharing executive,分時執行程序,
time-sharing executive operation,分時執行操作,
time-sharing executive system,分時執行系統,
time-sharing facility,分時設施,
time-sharing file processing,分時檔案處理,
time-sharing generator,分時產生器,
time-sharing group,分時組,
time-sharing help program,分時求助程式,
time-sharing incremental compiler,分時增量編譯器,
time-sharing input queue control block,分時輸入佇列控制塊,
time-sharing installation management,分時裝備管理,
time-sharing interchange,分時交換,
time-sharing interface area,分時介面區,
time-sharing interface program,分時介面程式,
time-sharing interface terminal,分時介面終端機,
time-sharing interrupt,分時中斷,
time-sharing job,分時作業,
time-sharing job control block,分時作業控制塊,
time-sharing library,分時程式館,
time-sharing media input,分時媒體輸入,
time-sharing method,分時方法,
time-sharing minicomputer,分時迷你電腦,
time-sharing mode,分時工作模式,
time-sharing monitor system,分時監控系統,分時監控系統
time-sharing monitor,分時監督器,
time-sharing multiplex,分時多工,
time-sharing multiplexer channel,分時多工器通道,
time-sharing network,分時網路,
time-sharing operating system,分時作業系統,分時操作系統
time-sharing operation system,分時作業系統,
time-sharing operation,分時操作,
time-sharing option,分時選項,
time-sharing polling,分時輪詢,
time-sharing priority,分時優先,分時優先級
time-sharing processing,分時處理,分時處理
time-sharing programming,分時程式設計,
time-sharing programming system,分時程式設計系統,
time-sharing ready,分時就緒,
time-sharing ready mode,分時就緒模,分時就緒方式
time-sharing reference,分時引用,
time-sharing resource,分時資源,
time-sharing running mode,分時運行模式,分時運行方式
time-sharing scanner,分時掃瞄器,
time-sharing scheduler system,分時排程系統,分時調度程序系統
time-sharing scheduling rule,分時排程規則,分時調度規則
time-sharing service,分時服務,
time-sharing session,分時對話期,
time-sharing software,分時軟體,
time-sharing subsystem,分時子系統,
time-sharing supervisor,分時監督器,
time-sharing system administration package,分時系統管理套裝軟體,
time-sharing system command,分時系統命令,分時系統命令
time-sharing system editing package,分時系統編輯套裝軟體,
time-sharing system evaluation,分時系統評估,
time-sharing system executive,分時系統執行,
time-sharing system functionality,分時系統功能性,
time-sharing system simulator,分時系統模擬器,
time-sharing system subsystem,分時系統的子系統,
time-sharing system text editor,分時系統正文編輯器,
time-sharing system,分時作業系統；分時系統,
time-sharing terminal,分時終端機,
time-sharing user,分時用戶,
time-sharing user mode,分時用戶模式,分時用戶方式
time-sharing user modes,分時用戶模式,
time-sharing waiting mode,分時等待模式,分時等待方式
timestamp,時間戳記,時間戳
time-to-digit conversion,時間至數位轉換,
time-to-digital conversion,時間至數位轉換,
time-variant parameter,時變參數,時變參數
time-variant series,時變序列,
time-varied gain,時變增益,
time-varying data,時變資料,
time-varying signal,時變信號,
timing,時序,
timing algorithm,定時演算法,
timing analysis,定時分析,定時分析
timing analyzer,定時分析器,計時分析程序
timing and control circuit,定時及控制電路,
timing capacitor,計時電容器,
timing channel,計時通道,
timing chart,計時圖,
timing circuit,計時電路,
timing clock,計時時鐘,
timing code,計時碼,
timing constraint,定時約束,定時約束
timing control unit,計時控制單元,
timing cycle,計時週期,
timing data distributor,計時資料分配器,
timing data input/output,計時資料輸入輸出,
timing device,計時裝置,
timing diagram,計時圖,
timing distribution system,計時分配系統,
timing error,計時錯誤,
timing extraction,定時擷取,
timing gate,計時閘,
timing generator,計時信號產生器,
timing interval,計時間隔,
timing jitter,計時信號的跳動,
timing loop,計時迴路,
timing mark,計時標示,
timing mark check,時標檢查,
timing master,計時主脈衝,
timing mechanism,計時機構,
timing meter,計時表,
timing modulation,定時調變,
timing network,計時網路,
timing processor,計時處理機,
timing program,計時程式,
timing pulse,計時脈衝；時序脈衝,
timing pulse distributor,計時脈衝分配器,定時脈沖分配器
timing pulse generator,計時脈衝產生器,
timing recovery,計時恢復,
timing reference signal,計時參考信號,
timing register,計時暫存器,
timing requirement,計時需求,
timing routine,計時常式,
timing sampling,計時抽樣,
timing selector,計時選擇器,
timing sequence,計時序列,
timing service,計時服務,
timing signal,計時信號,
timing terminal unit,計時終端裝置,
timing track,計時軌,
timing uncertainty,計時不準,
timing unit,計時單元,
T-invariant,T不變量,T不變量[式]
tip,尖端,
tip cable,塞尖電纜,
tip mode,尖端模,
tip node,尖節點,
tip side,塞尖側,
title,標題,
title card,標題卡片,
title option,標題選項,
t-junctor,三通接貫,
TLB,轉換旁視緩衝器,"變換旁查緩沖器, *[地址]轉換后援緩沖器"
TM,交易訊息處理,事務消息傳遞
TM,流量管理,"業務量管理, *流量管理"
TMR,三模組冗餘,三模冗余
TMS,真實維護系統,真值維護系統
TN power system,TN電源系統,
to fire a transition,實施變遷,實施變遷
to left-justify〔right-justify〕,左[右]對齊；左[右]靠齊,左對齊[右對齊]
to log off;to log out,登出,注銷
to undelete,反刪除,恢復刪除
to upload,上傳,上載
toggle,雙態觸變,
toggle button,雙態觸變鈕,
toggle circuit,雙態觸變電路,
toggle flipflop,雙態觸變正反器,
toggle rate,雙態觸變率,
toggle speed,雙態觸變速率,
toggle switch,雙態觸變開關,
token,符記；訊標,"權標, *令牌"
token access control,符記存取控制,
token bus,符記匯流排,
token bus architecture,符記匯流排架構,
token bus network,符記匯流排網路,令牌總線網
token card,符記卡,
token code,符記碼,
token flow path,符記流路徑,標記流路
token holder,符記持有者,"權標持有站, *令牌持有站"
token matching,符記匹配,
token monitor,符記監督器,
token name,符記名,
token passing,符記傳遞,"權標傳遞, *令牌傳遞"
token passing bus,符記傳遞匯流排,
token passing procedure,符記傳遞程序,令牌傳遞規程
token passing protocol𣿅,符記傳遞通訊協定,令牌傳遞協議
token passing system,符記傳遞系統,
token replacement,符記替換,
token ring,符記環,
token ring architecture,符記環架構,
token ring local area network,符記環區域網路,
token ring network,符記環形網路；符記環網路,令牌環網
token rotation time,符記旋轉時間,"權標輪轉時間, *令牌輪轉時間"
token separator,符記分隔符,
token type,符記型式,標記類型
token type ratio,符記型式比,
token value,符記值,
token variable,符記變數,標記變量
token-bus network,符記匯流排網路,"權標總線網, *令牌總線網"
token-ring network,符記環形網路；符記環網路,"權標環網, *令牌環網"
Tokyo electric co.,東京電氣公司,
Tokyo experiment computer network,東京實驗性計算機網路,
Tokyo experimental computer network,東京實驗計算機網路,
Tokyo Shilbaura Electric,東京芝浦電氣公司,
tolerable delay,容許延遲,
tolerable error rate,容許錯誤率,
tolerable limit,容許極限,
tolerance,容許度；容差,
tolerance analysis,容差分析,
tolerance frequency,容差頻率,
tolerance interval,容差區間,
toll,收費；長途,
toll call,長途通話,
toll center,長途中心,
toll key,通行鍵,
toll line release,長途線路釋放,
toll network,長途網路,
toll service,長途業務,
toll switching trunk,長途交換中繼線,
toll-free number,免費號,
tomographic,斷層射影,
tomography,斷層掃瞄,"層析成像, *層析朮"
tone,音調,聲調
tone control,音調控制器,
tone control circuit,音調控制電路,
tone count audiometric computer,音頻計數音頻測量計算機,
tone dial,按鍵式撥號,
tone dial receiver,音頻撥號接收器,
tone dialing,音頻撥號,
tone digital command,音頻數位命令,
toner,色劑；碳粉,色粉
toner carrier,色劑載體,
toner cartridge,碳粉匣,色粉盒
toner concentrate,色劑濃縮物,
toner concentration,碳粉集中,
toner container,色劑容器,
toner mark,色劑標示,
toner migration,色劑移動,
toner offset,色劑偏移,
toner reservoir,色劑儲存器,
toning control,色調控制,
toning system,顯影系統,
tool,工具,
tool based programming environment,基於工具的程式設計環境,
tool box,工具箱,
tool coordinate system,工具協調系統,
tool for compiler writing,編譯程式寫作工具,
tool function,工具功能,
tool kit,工具套件,
tool number,工具號碼,
tool offset,工具偏移,
tool position compensation,工具位置補償,
tool set,工具集,
tool transformations,工具變換,
toolbox,工具箱,工具箱
toolkit,工具箱,工具箱
toolkit utility,工具箱公用程式,
tools for building expert system,建立專家系統的工具,
toolsmith,工具匠,
toothbrush structure,牙刷結構,
top,頂,技朮與辦公協議
top class,頂層級,
top clause,頂子句,
top cover,頂蓋,
top digit,頂數位,
top document,頂層文件,
top element,頂端元素,
top entry,頂項,
top environment,頂層環境,
top loading,由上載入,
top management,高階主管,
top management decision simulation,高階管理決策模擬,
top margin,頂端邊際,
top node,頂端節點,頂級結點
top node of tree,樹頂節點,
top of form,表格頭,
top of stack control word,堆疊頂控制字,
top of stack pointer,堆疊頂指標,
top of stack,堆疊頂,
top operand,堆疊頂運算元,
top operator,頂運算子,
top paper,頂端用紙,
top priority processing,最高優先處理,
top rank retrieval,上層檢索,
top register,堆疊頂暫存器,
top row,頂列,
top secret,最高機密,絕密級
top secret classification,最高機密等級,
top speed,最高速度,
top stack element,堆疊頂元素,
top stack location,頂堆疊位置,
top stack operand,堆疊頂運算元,
top stack symbol,堆疊頂符號,
top symbol,頂符號,
top to top,頂到頂,
top view,上視圖,
top-down,自上而下,自頂向下
top-down algorithm,自上而下演算法,
top-down analysis,自上而下分析,
top-down analysis procedure,自上而下分析程序,
top-down analyzer,自上而下分析器,
top-down approach,自上而下方式,
top-down block structure,自上而下程序塊結構,
top-down compiler,自上而下編譯器,
top-down computer aided graphics,自上而下電腦輔助圖學,
top-down connection,自上而下連接,
top-down design,自上而下設計,自頂向下設計
top-down development,自上而下發展法,
top-down error recovery,自上而下錯誤復原,
top-down fashion,自上而下方式,
top-down fast-back parser,自上而下快返剖析器,
top-down goal oriented analysis procedure,自上而下目標導向的分析程序,
top-down integration,自上而下整合,
top-down left-to-right ordering,自上而下自左至右定序,
top-down logic,自上而下邏輯,
top-down management orientation,自上而下的管理方向,
top-down method,自上而下方法,自頂向下方法
top-down parse,自上而下剖析,
top-down parser,自上而下剖析器,
top-down parsing,自上而下剖析,自頂向下句法分析
top-down parsing algorithm,自上而下剖析演算法,
top-down parsing language,自上而下剖析語言,
