en,zh
"ESPRIT, STP",工程软件生产用户界面，可视化软件开发
estimated costs of carried over cases for the next year,结转到明年的案子的估计成本
Event Handler,事件处理程序
ex. No longer have laptop,例如，没有便携式电脑了
Expected Start,预期开始时间
expense purchase tax,将购买/采购税纳入开支/成本
exploits and vulnerabilities,可被利用的地方和易受攻击的缺陷
Explosion,分解
extreme sports /X-game,极限运动
踢毽子用英语怎么说？,To kick the shuttlecock or to play shuttlecock
factory class,工厂类
factory promt,厂家提示
feed rates,收件率/接收率
Anchored Objects,锚定/固定物件
approval routing,许可路由
archiving old messages out of the primary backup set,把旧邮件归档到主备份集以外的位置
artificial intelligence,人工智能
"As is so often the case,",情况3往往是这样
asynchrony,异步操作
authoring content,创作内容
authoring language,编辑语言，写作语言，编写语言
Authorization Line,确认行
Automatic case off/on,关闭/开启  自动大小写字体设置
autowire feature,自动绑定功能
Availability Date,到货日
代码域管理器,FYI
Bank control key,银行控制代码
Bank of America,美国银行
disposition,配置
Distribution Template,分发/分配模板
District Court,（联邦）地方法院
domain experience,专业经验，
draw a box,画一个框
Dual crossover,对偶交联；对偶联接；对偶交叉；交联；（通过缆线）对接等
Dump,转储
duplicating the original content in the proper order,按适当顺序重新组成原有内容
Duration Remaining,剩余时间
Dwarf-based,基于 Dwarf 的
early adopters,洞烛先机而率先采用的客户
Earned Hours,累积的带薪休假时间。
ECO,Engineering Change Order
Employee Facility,员工设施
inline/inlined/inlining,内联
insurance policies,保单
integrate processes within your client’s business,把流程集成到客户的业务中
Integration Composite Application Network,整合的组合式应用网络
Intelligent bursting,智能分发
Intuitive user interface,直观的用户界面
invalidate entry,废止条目; 废止输入; 废除条目； 废除输入
Inventory serial is picked,存货序列已被选用
is deprecated,不推荐使用，已过时
IS NOT FAULT TOLERANT,不能容錯
is not what it might be,(the data quality)不象原来预期/设想的那样（好）
IsCycled,已循环
Issuing Bank,放款银行
It was for a side project,那是用于非正式的项目
IT-enabled,基于 IT 的服务
Java Classes,java类
Java profiling,Java评测/评析
rich targets,诱人的
FI,FI
Field,字段
filter,筛选器
floating palette,浮动选项板/飘浮功能板
for use by their employees in the field,供该公司与此领域相关的职工使用
front-sided,正面
full,全套/整套
full time equivalents,全时制工作人员
function with,可以和。。。一起使用
functional box libraries,函数框库
functional processes,功能流程/功能型流程
fuzzy logic,模糊逻辑
game theoretical advantage,博弈论优势
Gavleborgs Lan,FYI
genealogy,谱系
keep everything ’just in case’,啥都留下 ..... 以防万一
keep it with them,随身携带
Keep Modeled On Entity's Data,保留建模实体的数据
Keyed on,linked to
KPIBenchmark,KPI基准指标
rolling target periods,滚动目标周期
rolls up,纳入，并入
RotatingWorkSchedule,轮班工作计划
Rotation Key,轮替关键
routing dispositions,路由配备
Row,行
sales report by sub,下属的销售报告
Sample Plan,抽样计划
scalar,标量
scriptable,可编指令码的/可编脚本的
Serial Key,序列号
Serial Number work in process,工单序号
service (data),维护（数据，verb.)
shift,转变
Shorthand-Aided Rapid Keyboarding,速记辅助快速键盘输入
sign methods and workspaces.,签写方法和工作区
Sixth Pacific Rim International Conference on Artificial Intelligence,第六届泛太平洋人工智能国际会议
Generalization,泛化
Generating Images On-the-Fly with ASP.NET and GDI+,使用 asp.net 和 gdi+ 生成即时动态图像
geographic dispersion of data from the source site,（可以将）源站点的数据分散到不同的地理区域
getting way popular,越来越受欢迎
GL account,general ledger account
Gradient,背景色渐变
graphical cues,图形提示
so conform,符合/與。。。一致
SOA meets the real world,SOA进入实际应用阶段
Social Software,社交软件
sort indicator,排序箭头符号
Soul-t'ukpyolsi,首尔(汉城)特别市
spyware,间谍软件
Start Plastics Data,启动塑料业数据
starting point,启始点
Status Valid On,状态有效/生效日期
stocks of cash,库存现金/现金储备
story,文章
stringify,字符串化
style conflict resolution,样式冲突解决（方案）
success,顺利/成功执行
Success With Warnings.,成功发出警报
SUK,SUK码
tables,表格
take the next step to on-demand intelligence,to=going to/towards
taller-than-wide layout,纵向版面/竖式版面
TCO,总体拥有成本
team dynamics,团队活力
Temp badge,临时卡
tertiary,一年三次
Tethering的表达,共享（移动电话的）网络资源
that encourage hedging through higher stockholdings,减轻是否增加库存的疑虑以安然避险
that the original applications were developed in,从开发原来应用程序所基于的特定平台
the enabling technology base,能发挥效用的技术基础
the perceived benefit of float built into the delays,迟延付款让人误认为会帶來好处
the settings as applied to a 100-percent diagram,根据100%（比例的）图表所应用的设置
this is communicated back from the RADIUS server to the switch,RADIUS服务器将这一情况通知交换机
tile,图块
Time Picker,时间选择器
to explode,激增
To Pick,选用（量）
To Put,投入（量）
To put this in financial terms,以/拿财务术语来说
token,令牌
top-down,自上向下的
Total Processed,总加工量
Total Run Effort,总运行尝试次数
transient data packets,临时数据包
transit,转换
troubleshooting,故障排除
TTRowVersionStamp,tt行版本时间戳
turn this off and on,红外线数据传输
U.S. federal rules of Civil Procedure effective 01-DEC-2006,2006年12月1日生效的《美国联邦民事诉讼规则》
ultimate definition of insanity in this business,真是疯狂到了家
unraveling,卸载
UOM,计量单位
Upstream Spectrum,上行频谱
use XML as the semantic data standard for services and middleware,把XML用作服务的语义数据标准和中间件
user rights,用户权限
users on the business side,商业用户
utilities,工具/实用程序
Valle d'Arosta,瓦莱达奥斯塔大区
Volo View Express 2,Volo View Express 2
want to go from mess to less?,想弃繁从简吗？
Waoroa,沃罗阿
Watch Wizard,监视向导
we just open a door to see the EJB,我们只是开启了一道沟通EJB之门
Web Service Transaction Language,Web服务事务语言
Web Site Translation,网站翻译
website localization,网站本地化
wet tissue,湿(的)组织
whitespace character,空白字符(空白字元)
WI For Std Operation,标准作业WI检索完毕
Wip content Quantities,工单内容数量
Wip order,工单
Wireless Zero Config,无线零配置 \ 无线网络零配置
Wizard,向导(程序)
WLAN Autoconfig,无线局域网(WLAN)自动配置
WONG WAI YEE,汪惠仪
Work adds on,附加工作
Work Period Break,工间休息
Work with millions of items,处理数百万个项目
Xtensions,扩展插件
z-order,Z-顺序
Ziutek,约瑟夫
Zizzz Disney,瞌睡虫迪士尼
\'open standards\' architecture,“开放标准”架构
