en,zh-hant,zh-hans
automated drafting,自動化製圖,自動繪圖
automated engineering design,自動化工程設計,
automated environment,自動化環境,
automated financial information system,自動化財務資訊系統,
automated funds transfer,自動化資金轉帳,
automated funds transfer system,自動化資金轉帳系統,
automated glossary,自動化字彙表,
automated graphic technology,自動化圖形技術,
automated graphics interface,自動化圖形介面,
automated guided vehicles system,自導車輛系統,
automated image processing,自動化影像處理,
automated imagery processing,自動成像處理,
automated implementation support,自動化實施支援,
automated industrial management system,自動化工業管理系統,
automated information,自動化資訊,
automated information directory update system,自動化資訊目錄更新系統,
automated information dissemination system,自動化資訊配送系統,
automated information management system,自動化資訊管理系統,
automated information management,自動化資訊管理,
automated information resource,自動化資訊資源,
automated information resource system,自動化資訊資源系統,
automated input and directory update system,自動化輸入與目錄更新系統,
automated input and document update system,自動化輸入與文件更新系統,
automated inquiry system,自動化詢問系統,
automated instruction fetch unit,自動化指令提取單元,
automated integrated manufacturing,自動化整合製造,
automated intelligence file,自動化智慧檔案,
automated intelligence system,自動化智慧系統,
automated inventory management,自動化庫存管理,
automated job,自動化工件,
automated language processing,自動化語言處理,
automated layout program,自動化布局程式,
automated logic,自動化邏輯,
automated logic diagram,自動化邏輯圖,
automated logic inference,自動化邏輯推理,自動邏輯推理
automated logic mapping system,自動化邏輯映像系統,
automated maintenance system,自動化維護系統,
automated microfilm aperture card update system,自動化微縮膠卷孔徑卡更新系統,
automated multimedia terminal,自動化多媒體終端機,
automated office,自動化辦公室,
automated operator interface,自動化運算子介面,
automated operator,自動化運算子,
automated process,自動化處理,
automated process planning system,自動化過程規劃系統,
automated processing information file,自動化處理資訊檔案,
automated production management,自動化生產管理,
automated program,自動化程式,
automated program support system,自動化程式支援系統,
automated program verifier,自動化程式驗證器,
automated programming,自動化程式設計,
automated proof,自動化證明,
automated publishing system,自動化出版系統,
automated reasoning,自動化推理,自動推理
automated reproduction and collating system,自動化再製與對照系統,
automated search service,自動化搜索服務,自動搜索服務
automated security monitor,自動化安全監控,自動安全監控
automated simulation tool,自動化模擬工具,
automated software engineering,自動化軟體工程,
automated spelling check,自動拼字檢查,
automated spooling priority,自動化排存優先,
automated stock control,自動化庫存控制,
automated system initialization,自動化系統初始化,
automated tape library,自動化磁帶館,
automated target recognition,自動化目標辨識,
automated test case,自動化測試案例,
automated test case generator,自動化測試用例產生器,自動測試用例生成器
automated test data generator,自動化測試資料產生器,自動測試數據生成器
automated test generator,自動化測試產生器,自動測試生成器
automated thesaurus,自動化詞庫,
automated translation,自動化翻譯,
automated transmission system,自動化傳輸系統,
automated unit test,自動化單元測試,
automated verification system,自動化驗證系統,自動驗証系統
automated verification tools,自動化驗証工具,自動驗証工具
automatic abstract,自動節略文摘,自動文摘
automatic abstracting,自動節略文摘,自動文摘
automatic acceleration,自動加速,
automatic accounting system,自動會計系統,
automatic address modification,自動位址修改,
automatic address recognition subsystem,自動位址識別子系統,
automatic address recognition system,自動位址識別系統,
automatic addressing,自動定址,
automatic addressing system,自動定址系統,
automatic air defense information system,自動防空資訊系統,
automatic alarm,自動警報,
automatic alignment,自動對準,
automatic allocation,自動分配,
automatic amplitude control,自動振幅控制,
automatic answer back code exchange,自動回答碼交換,
automatic answer back unit,自動回答單元,
automatic answering,自動回應,
automatic answering unit,自動應答裝置,
automatic area control system,自動區域控制系統,
automatic area control,自動區域控制,
automatic assembly,自動組合,
automatic assembly equipment,自動組合設備,
automatic assembly system,自動組合系統,
automatic audio switching,自動聲頻交換,
automatic backup,自動備份,
automatic balancing,自動平衡,
automatic baud recognition,自動鮑辨識,
automatic bias,自動偏壓,
automatic bias compensation,自動偏壓補償,
automatic bias control,自動偏壓控制,
automatic bootstrap,自動自舉,
automatic branch exchange,自動交換分機,
automatic branching,自動分支,
automatic brightness control,自動亮度控制,
automatic built-in subroutine,自動內建次常式,
automatic calculation,自動計算,
automatic calculator,自動計算器,
automatic call,自動呼叫,
automatic call distributor,自動呼叫分配器,
automatic call library,自動呼叫程式館,
automatic call simulator,自動呼叫模擬器,
automatic call-back,自動喚回,
automatic calling,自動呼叫,
automatic calling,自動呼叫（在數據網路中）,
automatic calling and answering equipment,自動呼叫應答設備,
automatic calling equipment,自動呼叫設備,
automatic calling unit,自動呼叫單元,
automatic call-recording equipment,自動呼叫記錄設備,
automatic carriage,自動托架,自動托架
automatic carry,自動進位,
automatic cartography,自動製圖法,
automatic cash depositor,自動存款機,
automatic cassette changer,自動卡式變換器,
automatic central alarm system,自動中央警報系統,
automatic character recognition,自動字元識別,
automatic charge indication,自動充電指示,
automatic charting,自動製圖,
automatic check interrupt,自動檢查中斷,
automatic check,自動檢查,自動檢驗
automatic checker,自動核對器,
automatic checking,自動檢查,
automatic checkout,自動檢驗,
automatic checkout system,自動檢測系統,
automatic Chinese word segmentation,自動中文斷詞,漢語自動切分
automatic circuit,自動電路,
automatic circuit breaker,自動電路斷路器,
automatic circuit layout,自動電路布局,
automatic circuit tester,自動電路測試器,
automatic classifier,自動分類器,
automatic clearing apparatus,自動清除儀器,
automatic clearing indicator,自動清除指示器,
automatic clocking circuit,自動計時電路,
automatic code,自動碼,
automatic coding,自動編碼,自動編碼
automatic coding language,自動編碼語言,
automatic coding system,自動編碼系統,
automatic collision avoidance system,自動碰撞避免系統,
automatic colour control,自動色彩控制,
automatic communication,自動通信,
automatic compilation,自動編譯,
automatic component assembly,自動組件組合,
automatic computer telex system,計算機自動控制的用戶電報系統,
automatic computer,自動計算機,
automatic computerized transverse axial scanner,自動電腦化橫向軸掃瞄器,
automatic configuration,自動組態,
automatic constant function,自動常數功能,
automatic continuous-tape relay switching,自動連續帶繼電器交換,
automatic control,自動控制,自動控制
automatic control engineering,自動控制工程,
automatic control evaluation system,自動控制評估系統,
automatic control panel,自動控制面板,
automatic control system,自動控制系統,
automatic control theory,自動控制理論,
automatic controller,自動控制器,
automatic conversion,自動轉換,
automatic correction,自動校正,
automatic data acquisition,自動資料獲取,
automatic data conversion,自動資料轉換,
automatic data digitizing system,自動資料數位化系統,
automatic data entry unit,自動資料登錄單元,
automatic data exchange system,自動資料交換系統,
automatic data handling system,自動資料處置系統,
automatic data interchange system,自動資料交換系統,
automatic data link,自動資料鏈接,
automatic data medium,自動資料媒體,
automatic data migration,自動資料遷移,
automatic data plotter,自動資料繪圖器,
automatic data processing center,自動資料處理中心,
automatic data processing engineering,自動資料處理工程,
automatic data processing equipment,自動資料處理設備,
automatic data processing equipment/software,自動資料處理設備軟體,
automatic data processing inc.,自動資料處理公司,
automatic data processing machine,自動資料處理機,
automatic data processing program reporting system,自動資料處理程式報告系統,
automatic data processing program,自動資料處理程式,
automatic data processing resource,自動資料處理資源,
automatic data processing service center,自動資料處理服務中心,
automatic data processing software,自動資料處理軟體,
automatic data processing system,自動資料處理系統,
automatic data processing unit,自動資料處理單元；自動資料處理裝置,
automatic data processing,自動資料處理,自動數據處理
automatic data processor,自動資料處理機,
automatic data protection,自動資料保護,
automatic data rate changer,自動數據率變換器,
automatic data recovery restart operation,自動資料恢復再啟動作業,
automatic data reducer,自動資料縮減器,
automatic data reduction,自動資料縮減,
automatic data reduction equipment,自動資料縮減設備,
automatic data routing group,自動資料選路群,
automatic data service center,自動資料服務中心,
automatic data set editing program,自動資料集編輯程式,
automatic data set,自動資料集；自動數傳機,
automatic data switching center,自動資料交換中心,自動數據交換中心
automatic data switching system,自動資料交換系統,
automatic data system uniform practices,自動資料處理系統統一作法,
automatic data test line,自動資料測試線,
automatic data test unit,自動資料測試單元；自動資料測試裝置,
automatic data transfer,自動資料傳送,
automatic data translator,自動資料翻譯器,
automatic data unit,自動資料單元；自動資料裝置,
automatic date-and-time indication,自動日期－與－時間指示,
automatic debugging,自動除錯,
automatic deceleration,自動減速,
automatic decimal point computer,自動小數點定位計算機,
automatic deduction,自動演繹,自動演繹
automatic desk computer,自動桌上電腦,
automatic destruct program,自動破壞程式,
automatic detection,自動檢測,
automatic diagnosis,自動診斷,
automatic diagnostic program,自動診斷程式,
automatic diagnostics,自動診斷,
automatic dial order wire,自動撥號次序線,
automatic dial switching network,自動撥號交換網路,
automatic dialer,自動撥號器,
automatic dialing unit,自動撥號單元,
automatic dictionary,自動字典,自動字典
automatic die positioner,自動鑄模定位器,
automatic digital accumulator,自動數位累加器,
automatic digital calculator,自動數位計算器,
automatic digital computer,自動數位電腦,
automatic digital data error recorder,自動數位式資料誤差記錄器,
automatic digital message switch,自動數位訊息交換,
automatic digital message switching center,自動數位訊息交換中心,
automatic digital on-line instruments system,自動數位連線儀器系統,
automatic digital recording and control,自動數位記錄與控制,
automatic digital relay center,自動數位電驛中心,
automatic digital switch,自動數位開關,
automatic digital switching,自動數位交換,
automatic digital switching center,自動數位交換中心,
automatic digital tracking analyzer computer,自動數位追蹤分析計算機,
automatic digital tracking,自動數位追蹤,
automatic digital weather switch,自動數位氣象交換,
automatic dimensioning,自動標註尺寸,自動尺寸標注
automatic direction finding system,自動方向找尋系統；自動測向系統,
automatic direction indicator,自動方向指示器,
automatic diskette eject mechanism,自動磁片彈出制,
automatic dispatch system,自動調度系統,
automatic display and plotting system,自動顯示與繪圖系統,
automatic display system,自動顯示系統,
automatic display,自動顯示,
automatic dissemination,自動配送,
automatic document classification,自動文件分類,
automatic document clustering,自動文件聚類,
automatic document control system,自動文件控制系統,
automatic document request service,自動文件請求服務,
automatic document retrieval system,自動文件檢索系統,
原文,臺灣用語,大陸用語
automatic document storage and retrieval,自動文件儲存與檢索,
automatic drafting machine,自動製圖機,
automatic drafting system,自動製圖系統,
automatic duration indication,自動歷時指示,
automatic dynamic response analyzer,自動動態回應分析器,
automatic editing,自動編輯,
automatic electric co.,自動電氣公司,
automatic electronic computer,自動電子計算機,
automatic electronic data switching center,自動電子資料交換中心,自動電子數據交換中心
automatic electronic exchange,自動電子交換,
automatic electronic switching center,自動電子交換中心,
automatic engineering design system,自動工程設計系統,
automatic entrance unit,自動入口裝置,
automatic equipment,自動設備,
automatic error correcting code,自動改錯碼,
automatic error correction device,自動錯誤校正裝置,
automatic error correction system,自動錯誤校正系統,
automatic error correction,自動錯誤校正；自動改錯,
automatic error correction/detection,自動錯誤校正／檢測,
automatic error detection,自動錯誤檢測,
automatic error request equipment,自動錯誤請求設備,
automatic exchange,自動交換,
automatic extraction,自動萃取,
automatic fault detection,自動故障檢測,
automatic fault finding,自動故障找尋,
automatic fault finding and maintenance,自動故障找尋與維護,
automatic fault isolation test,自動故障隔離測試,
automatic fault isolation tester,自動故障隔離測試器,
H ∞ identification,H無窮識別,H無窮辨識
hacker,駭客,程序高手
Hadamard transformation,哈達馬德變換,
half,半；一半,
half adder,半加器,半加器
half byte,半位元組,
half byte aligned,半位元組對齊,
half subtracter,半減器,半減器
half-add,半加,
half-adder,半加器,半加器
half-adding,半加法,
half-adjust,捨入,
half-amplitude basic pulse width,半振幅基本脈寬,
half-bubble,半磁泡,
half-carry,半進位,
half-current,半電流,
half-duplex channel,半雙工通道,
half-duplex contention,半雙工競爭,
half-duplex line,半雙工線路,
half-duplex link,半雙工鏈,
half-duplex operation,半雙工作業,
half-duplex service,半雙工服務,
half-duplex transmission,半雙工傳輸,半雙工傳輸
half-duplex,半雙工,
half-form character,半形字元,
half-gateway,半閘道,
half-height drive,半高,
half-height floppy disk drive,半高軟式磁碟機,
half-height micro Winchester disk drive,半高式微型溫徹斯特磁碟機,
half-inch tape,半英寸磁帶,
automatic fault isolation,自動故障隔離,
automatic fault location,自動錯失位置,
automatic feed,自饋,自動進給
automatic feed punch,自動送卡打孔；自饋打孔（機）,
automatic feed water control,自動饋水控制,
automatic fidelity control,自動保真度控制,
automatic field analog computer,自動現場類比計算機,
automatic field duplication,自動欄位複製,
automatic field format recognition,自動欄位格式辨識,
automatic file control and documentation,自動檔案控制與文件製作,
automatic fine control,自動微控；自動微控制,
automatic fine tuning,自動微調,
automatic floating point,自動浮點,
automatic flowcharting,流程圖制作,
automatic following control,自動跟隨控制,
automatic following,自動跟隨,
automatic footnote tie-in,自動加入腳注,自動加入腳注
automatic for storage and retrieval of information,資訊儲存與檢索自動化,
automatic formatting,自動格式化,
automatic frequency and phase control,自動頻率與相位控制,
automatic frequency control,自動頻率控制,
automatic frequency stabilization,自動頻率穩定,
automatic function,自動功能,
automatic gain control,自動增益控制,
automatic gain stabilization,自動增益穩定,
automatic general information learning equipment,自動通用資訊學習設備,
automatic generation,自動產生,
automatic ground receiver terminal,自動地面接收終端機；自動地面接收機終端,
automatic hardware dump,自動硬體傾印,
automatic hierarchy,自動階層,
half-inch tape drive,半英寸磁帶機,
half-intensity,一半強度,
half-interval search,區間分半搜尋,
half-life,半衰期,
half-line,半線,
half-ordered set,半序集,
half-path,半路徑,
half-pin conductor,半插腳導線,
half-read pulse,半讀脈衝,
half-reflection,半反射,
half-select pulse,半選脈衝,
half-session,半對話期,
half-shift register,半移位暫存器,
half-sine,半正弦,
half-sinusoid,半正弦曲線,
half-size,半形,
half-space,半空格,
half-speed,半速度,
half-subtracter,半減器,半減器
half-time emitter,半時發射器,
halftone,半色調,半色調
half-tone,半色調,
halftone image,半色調圖像,半色調圖像
half-tone process,半色調處理,
half-value period,半衰期,
half-wave,半波,
half-wave rectifier,半波整流器,
half-word,半字,
half-word boundary,半字界,
half-word buffer,半字緩衝器,
half-word input,半字輸入,
automatic identification,自動識別,
automatic illustrated documentation system,自動圖解文件系統；自動圖解文件製作系統,
automatic image data extraction system,自動影像資料萃取系統,
automatic image retrieval system,自動影像檢索系統,
automatic in-circuit tester,自動內電路測試器,
automatic indentation,自動內縮,
automatic indexing,自動索引,自動標引
automatic indicator,自動指示器,
automatic information,自動資訊,
automatic information display equipment,自動資訊顯示設備,
automatic information display system,自動資訊顯示系統,
automatic information processing,自動資訊處理,
automatic information retrieval,自動資訊檢索,
automatic information system,自動資訊系統,
automatic information tester,自動資訊測試器,
automatic input,自動輸入,
automatic inspection data accumulator,自動檢驗資料累加器,
automatic inspection,自動檢驗,
automatic instruction retry module,自動指令再試模組,
automatic integrated circuit tester,自動積體電路測試器,
automatic integrating debugging system,自動整合除錯系統,
automatic integrator,自動積分器,
automatic intelligence data system,自動智慧型資料系統,
automatic interactive debugging system,自動交互除錯系統,
automatic interactive driver,自動交互驅動器,
automatic interlock,自動互鎖,
automatic internal diagnosis,自動內部診斷,
half-word output,半字輸出,
half-write pulse,半寫脈衝,
Hall effect,霍爾效應,
halt,停止,暫停
halt and proceed,停止與繼續進行,
halt burst mode,暫停猝發模,
halt condition,停機條件,
halt cycle,停止週期,
halt indicator,停機指示器,
halt input,停機輸入,
halt instruction,停機指令；暫停指令,
halt mode,停機模,
halt number,停機號,
halt phase,停機階段,
halt problem,停機問題,
halt problem mode,停機問題模態,
halt state,停止狀態,
halt switch,停機開關,
halted state,停止狀態,
halting execution,停止執行,
halting problem,自動機停機問題；停機問題,停機問題
halting problem of flowchart schema,流程圖綱目停機問題,
halting problem of Turing machine,杜林機停機問題,
halting processing state,暫停處理狀態,
halver operator,等分運算子,
halving circuit,平分電路,
halving register,平分暫存器,
halyard,升降索,
automatic interrogation distorted,自動詢問失真,
automatic interrupt,自動中斷,
automatic job scheduling,自動工件排程,
automatic job stream generator,自動工件流產生器,
automatic job-to-job transition,自動工件到工件變遷,
automatic journal entries,自動日誌項,
automatic key management,自動鍵管理,
automatic key transliteration,自動鍵換字,
automatic knowledge,自動知識,
automatic knowledge acquisition,自動知識獲取,
automatic label control,自動標號控制,
automatic language data processing,自動語言資料處理,
automatic language processing,自動語言處理,
automatic language translator,自動語言翻譯器,
automatic laser encoder,自動雷射編碼器,
automatic level compensation,自動位準補償,
automatic level control,自動位準控制,
automatic level recorder,自動位準記錄器；自動電平記錄儀,
automatic level setting,自動位準設定,
automatic lexical code,自動詞彙碼,
automatic lexical coding,自動詞彙編碼,
automatic library call,自動程式館呼叫,
automatic library update,自動程式館更新,
automatic line adjust,自動行調整,
automatic line feed,自動換行,
automatic line reconnect,自動線路再連接,
automatic line test,自動線路測試,
Hamilton circuit,漢米爾頓迴路,哈密頓回路
Hamilton circuit problem,漢米爾頓迴路問題,哈密頓回路問題
Hamilton path,漢米爾頓路徑,哈密頓路徑
hammer,字錘,錘頭
hammer bank,字錘組,
hammer code,字錘代碼,
hammer control logic,字錘控制邏輯,
hammer lever,字錘桿,
hammer machine,字錘機,
hammer magnet,字錘磁,
hammer shaft,字錘軸,
Hamming code,漢明碼,漢明碼
hamming correction code,漢明校正碼,
Hamming distance,漢明距離,漢明距離
Hamming weight,漢明權,
Hamming window,漢明窗,
HAMT,人工輔助機器翻譯,人助機譯
hand assembler,手工組合程式,
hand assembly language,手工組合語言,
hand calculator,手動計算器,
hand coded analyzer,手編分析器,
hand coded compiler,手編編譯程式,
hand computation,手工計算,
hand coordinate frame,手坐標協調框,
hand coordinate system,手坐標系統,
hand eye machine,手眼機,
hand feed punch,手饋打孔,
hand held calculator,手持型計算器；手持計算器,
hand held computer,手持式計算機,
hand held console,手持控制台,
hand held equipment,設備手持,
hand held scanner,手持掃瞄器,
automatic load and drive control,自動載入與驅動控制,
automatic load balancing device,自動負載平衡裝置,
automatic load regulator,自動負載調整器,
automatic loader,自動載入器,
automatic loader diagnostics,自動載入器診斷,
automatic loader switch,自動載入器開關,
automatic local frequency control,自動本地頻率控制,
automatic location device,自動定位裝置,
automatic location identification,自動位置識別,
automatic lock,自動鎖,
automatic locking,自動鎖定,
automatic locking circuit,自動鎖定電路,
automatic logic nesting,自動邏輯巢套,
automatic logon,自動登入,
automatic magnetic tape dissemination,自動磁帶配送,
automatic malfunction analysis,自動失靈分析,
automatic manual,自動手冊,
automatic map display,自動映射顯示器,
automatic map,自動映射,
automatic marker,自動標誌,
automatic measure device,自動量測裝置,
automatic measurement technology,自動測量技術,
automatic measurement,自動測量,
automatic member,自動成員,
automatic membership class,自動隸屬類,
automatic memory,自動記憶,自動記憶
automatic message distribution system,自動訊息分配系統,
automatic message exchange,自動訊息交換,
automatic message handling system,自動訊息處置系統,
hand holding,手持處置器,
hand operated punch card,人工操作打孔卡,
hand operation,手工操作,
automatic message processing system,自動訊息處理系統,
automatic message recording,自動訊息記錄,
automatic message registering,自動訊息登記,
automatic message routing,自動訊息選路,
automatic message switching,自動訊息交換,
automatic message switching center,自動訊息交換中心,
automatic message switching network,自動訊息交換網路,
automatic message switching system,自動訊息交換系統,
automatic microfilm editor,自動微縮膠卷編輯器,
automatic microfilm information system,自動微縮膠卷資訊系統；自動縮微膠卷信息系統,
automatic mode,自動模式,
automatic model acquisition,自動模型獲取,自動模型獲取
automatic modulation control,自動調變控制,
automatic monitor,自動監視器,
automatic monitor and control device,自動監控裝置,
automatic monitored control system,自動監控系統,
automatic monitoring system,自動監視系統,
automatic Morse,自動摩爾斯,
automatic multicycle,自動多循環,
automatic multilevel precedence,自動多級在先,
automatic multiple address relay system,自動多址電驛系統,
automatic network,自動網路,
automatic network dial,自動網路撥號,
automatic new line,自動新行,
automatic noise suppressor,自動雜訊抑制器,
automatic number analysis,自動數字分析,
automatic number key,自動號碼鍵,
automatic number machine,自動號碼機,
automatic number normalization,自動號碼正規化,
automatic numbering equipment,自動編號設備,
hand over,轉移,
hand print data entry terminal,手工列印資料登錄終端機,
hand printed character recognition,手寫印刷體字元識別,
hand punch,手動打孔機,
hand written character,手寫字符,
hand written compiler,手寫編譯程式,
hand-flag transmission,手旗傳輸,
handheld computer,手持計算機,手持計算機
handing time,手算時間,
handle,處置；柄,句柄
handle head,句柄頭,
handle part,句柄部分,
handle tail,句柄尾,
handler,處置器；柄,
Handler classification schema,漢德勒分類綱目,
handler routine,處置器常式,
handling,處置,
handling capacity,處置能力；處理能力,
handling event function,處置事件功能,
handling failure,處置故障,
handling system,處置系統,
handling time,處置時間,
hands on,實作,
hands on background,實作背景,
hands on operation,實際操作；實作,
handset,手機,
handshake,交握,
handshake protocol,交握協定,
handshaking,交握,"聯絡, *信號交換"
automatic numbering transmitter,自動編號傳輸器,
automatic numerical control,自動數值控制,
automatic numerical decision,自動數值決策,
automatic open-loop control,自動開放式迴路控制,
automatic operating and scheduling program,自動操作與排程程式,
automatic operation,自動運算,
automatic operation system,自動作業系統,
automatic operations control,自動化操作控制,
automatic origination,自動發端,
automatic output control,自動輸出控制,
automatic overlaying,自動重疊,
automatic overload,自動超載,
automatic overload control,自動超載控制,
automatic page numbering,自動編頁號,自動編頁號
automatic pagination,自動編頁；自動標定頁數,自動編頁
automatic paging,自動調頁,自動分頁
automatic paper carriage,自動送紙滾筒,
automatic paragraph numbering,自動編段號,自動編段號
automatic parallelization,自動平行化,自動并行化
automatic parser,自動剖析器,
automatic parser generator,自動剖析器產生器,
automatic parsing algorithm,自動剖析演算法,
automatic patching system,自動修補系統,
automatic peripheral control,自動週邊控制,
automatic phase control,自動相位控制,
automatic phase lock,自動鎖相,
automatic phase synchronization,自動相位同步,
automatic photomapping equipment,自動光電繪圖設備,
automatic picture sharpness control,自動圖象清晰度控制,
automatic picture transmission system,自動圖象傳輸系統,
handshaking modem,交握數據機,
handshaking procedure,交握程序,
handshaking sequence,交握順序,
handwriting,手寫體,
handwriting alphanumeric character,手寫文數字元,
handwriting character recognition,手寫字元辨識,
handwriting Chinese character,手寫中文字元,
handwriting Hanzi input,手寫漢字輸入,手寫漢字輸入
handwriting reader,手寫體閱讀機,
handwritten form,手寫體,手寫體
handwritten Hanzi recognition,手寫體漢字識別,手寫體漢字識別
handwritten numeral recognition,手寫數字辨識,
hang up,意外停機,意外停機
hanging,暫懸；懸宕,
hanging cursor position,暫懸游標位置,
hanging indent,暫懸內縮,
Hanzi,漢字,漢字
Hanzi attribute,漢字屬性,漢字屬性
Hanzi attribute dictionary,漢字屬性字典,漢字屬性字典
Hanzi card,漢卡,漢卡
automatic picture transmission,自動圖象傳輸,
automatic placement,自動布局,
automatic plexicoder,自動叢編碼器,
automatic plotter,自動繪圖器,
automatic plotting,自動繪圖,
automatic poll,自動輪詢,
automatic position,自動位置,
automatic position reference system,自動位置參考系統,
automatic positioning equipment,自動定位設備,
automatic power off,自動斷電,
automatic power plant checker,電廠自動檢對器,
automatic predictive maintenance,自動預測性維護,
automatic preemption,自動佔先,
automatic printer,自動列印機,
automatic printing,自動列印,
automatic priority group,自動優先組,
automatic priority interrupt,自動優先中斷,
automatic product test,自動產品測試,
automatic program certification,自動程式認證,
automatic program control,自動程式控制,
automatic program execution,自動程式執行,
automatic program generation,自動程式產生,
automatic program generator,自動程式產生器,
automatic program interrupt,自動程式中斷,自動程序中斷
automatic program interruption,自動程式中斷,
automatic program language,自動程式語言,
automatic program load,自動程式載入,
automatic program loading unit,自動程式載入裝置,
automatic program optimization,自動程式最佳化,
automatic program segmentation,自動程式分段,
automatic program synthesis,自動程式合成,
automatic program system,自動程式系統,
Hanzi code for information interchange,漢字訊息交換碼,漢字信息交換碼
Hanzi code for interchange,漢字交換碼,漢字交換碼
Hanzi coded character set,漢字編碼字元集,漢字編碼字符集
Hanzi coding,漢字編碼,漢字編碼
Hanzi coding input method,漢字編碼輸入法,漢字編碼輸入方法
Hanzi coding scheme,漢字編碼綱目,漢字編碼方案
Hanzi coding technique,漢字編碼技術,漢字編碼技朮
Hanzi component,漢字組件,漢字部件
Hanzi control function code,漢字控制功能碼,漢字控制功能碼
Hanzi display terminal,漢字顯示終端機,漢字顯示終端
Hanzi expanded internal code specification,漢字擴展內碼規格,漢字擴展內碼規范
Hanzi features,漢字特徵,漢字特征
Hanzi font code,漢字字形碼,漢字字形碼
Hanzi font library,漢字字形庫,漢字字形庫
Hanzi form,字形,字形
Hanzi frequency,字頻,字頻
Hanzi generator,漢字產生器,漢字生成器
Hanzi handheld terminal,漢字手持終端機,漢字手持終端
Hanzi indexing system,漢字索引系統,漢字檢字法
Hanzi information condensed technology,漢字資訊壓縮技術,漢字信息壓縮技朮
Hanzi information processing,漢字資訊處理,漢字信息處理
Hanzi information processing technology,漢字資訊處理技術,漢字信息處理技朮
Hanzi ink jet printer,漢字噴墨印表機,漢字噴墨印刷機
Hanzi input,漢字輸入,漢字輸入
Hanzi input keyboard,漢字輸入鍵盤,漢字輸入鍵盤
Hanzi input program,漢字輸入程式,漢字輸入程序
Hanzi inputing code,漢字輸入碼,漢字輸入碼
Hanzi internal code,漢字內碼,漢字內碼
Hanzi keyboard,漢字鍵盤,漢字鍵盤
Hanzi keyboard input method,漢字鍵盤輸入法,漢字鍵盤輸入方法
Hanzi laser printer,漢字雷射印表機,漢字激光印刷機
automatic program verification,自動程式驗證,
automatic program verification system,自動程式驗證系統,
automatic programmer,自動程式設計器,
automatic programming,自動程式設計,自動程序設計
automatic programming approach,自動程式設計方式,
automatic programming language,自動程式設計語言,自動程序設計語言
automatic programming system,自動程式設計系統,
automatic programming tool,自動程式設計工具,
automatic programming unit,自動程式設計裝置,
automatic punch,自動打孔機,自動穿孔機
automatic quality control,自動品質控制,
automatic question modification,自動問題修改,
automatic random access transport,自動隨機存取傳送,
automatic range control,自動範圍控制；自動值域控制,
automatic range tracking unit,自動範圍追蹤裝置；自動距離追蹤裝置,
automatic range unit,自動測距單元,
automatic ratio control,自動比率控制,
automatic reader,自動閱讀機,
automatic reading,自動閱讀,
automatic reading machine,自動閱讀機,
automatic receiver,自動接收機,
automatic receiver program,自動接收器程式,
automatic reclosing,自動再次接通,
automatic record analysis language,自動記錄分析語言,
automatic record locking,自動記錄鎖定,
automatic record selection/deletion,自動記錄選擇／刪除,
automatic recorder,自動記錄器,
automatic recording,自動記錄,
automatic recording calculating machine,自動記錄式計算機,
automatic recover program,自動恢復程式,
automatic recovery,自動恢復,
automatic recovery program,自動恢復程式,
Hanzi number,字號,字號
Hanzi order,字序,字序
Hanzi output,漢字輸出,漢字輸出
