en,zh
removes the physical server constraints of test environments,消除测试环境中物理服务器的限制
repeating mosaic,重复的图案
research benchmark,基准研究
retail clinic,零售诊所
retainer support contracts,预付定金的支持合同
riff off,即兴提出
risk sanctions,冒处罚风险
ROC test,受试者工作特征测试
roll-up,席卷
rough consensus and running code,大致共识和实用代码
round-robin database scheme,循环数据库模式
run its course,走到头了
safely sanitized messages,（借力于）（精心雕琢务求稳妥/字斟句酌保证安全/不致引发任何负面情绪）的信息
schools of instruction,系
know,了解
laminated card,塑封卡
lands the charge on the operator bill,把费用记在运营商的账单上
launching an open call to the public,对外公开招募 / 对外公开选拔
lead the pack,带头认为
leading-indicator market,作为主要指标/晴雨表的市场
leagues,遥遥领先
Legal Hold,依法保留
legitimizes,赋予......合法地位
licenses,授权...使用
like-for-like,半斤八两/照猫画虎
Live CD,自生系统光盘
live install,即装即用
log space reservation fast path,预留日志空间快速路径是XFS中非常热门的路径
look to for future treats,从中获得乐趣
look up and verify,查证
loss-causing gluts,带来/造成损失的供过于求
macro-management,宏操作
makes Homer something something,（只有工作没有娱乐的）生活该是多么沉闷啊
modeling and application development by the consumers of the services,服务使用方进行建模及应用开发
move past,切换视角
movement,人的活动
MPI ranks,MPI进程
mundane items such as quantities,非机密信息（一般信息），如数量
NATing protocol 41,对协议41进行网络地址转换
navigate,浏览
needs setting at the top end of the scale,（屏幕亮度）设置需调到最高
no assumed single vector for attacks,不假定只有一个方面的攻击/认为存在多方面的攻击
greenfield opportunity,新机遇
group practices,联合诊所
Groupon deals,Groupon优惠券
hammering the proverbial screw,用锤子“拧“螺丝-物非所用
hand-raising,调查
handle one or two big idea,应对一两项（个）重大的构想/想法
hang off of these,依赖于（其内容）/挂靠于这些应用
happens with,发生的（只不过是）
hardware-hungry,硬件开销巨大
he was far from Raskob’s opposite,他比拉斯科布好不到哪去
health care strategist,跟踪分析医疗行业的策略师
high-visibility smart phones,高清晰度智能电话
hijacking core enterprise applications away from VMware,把核心企业应用从VMware那里争取过来
historical tick data,分笔数据
Home Button,主屏键
hot spots,瓶颈
second line servers,辅助服务器
section,区
makes things happen,能成事儿
no one thing can currently be blamed.,目前不能归咎于某个因素
not least of,特别，尤其
Not on the surface yet,表面上暂时还看不出来
not trivial,极为困难/非常棘手/非常麻烦
nurture,逐步建立
objective,实际的
off-grid markets,离网市场
on the network adapters of all PCs connected to the network,连上网络的配接卡上
on-premise systems,内部部署系统
on-staff subject-matter experts,内部主题专家
ongoing operations,进行中的(军事)行动
Only they plug it in backward,可是/不过他们把无线接入点的接口插反了。
or it would quickly become obvious,否则很快就会显而易见
original representation,原始表示方法/方式
out of the chute,马上、直接
overlap entirely with the contents of your camera bag,跟你放在相机袋里的东西扯上大关系
parried,反唇相讥/回应
house-brand,自有品牌的
hub and spoke architecture,中心辐射型架构
human dynamics,人际动力学
image,映像
imposing,打扰
in our labs area,在“我们的实验室”页面
in some capacity,或多或少/一定程度上
in the hopper,准备就绪
in the Right Place at the Wrong Time,生不逢时
in the top third of our measure of IT governance,在我们度量的IT治理效果最好的前三分之一的公司
In-Plane Switching,平面转换
individual passwords,專用密碼
influence health outcomes,改善疗效
infrastructuring,（为人类劳力）创立基础设施
parses source code into an intermediate language,把源代码拆解成中间语言代码
Patch,恶意修改/恶意补丁
ingest,提取
Inline Scrollable Content,内嵌滚动内容
pattern,图案
perceived boundaries,打破固有的界限
picture,图片
the files/trash,文件/回收站
the finance of physics,物理原因决定的资金需求
the fleet “continued to follow the true primary”,服务器群“继续追随真正的主服务器”
the gig is up,行踪败露
the head of sourcing,采购主管
the network can be more granular with presence information,网络可以提供更细化的状态信息
the only keys to supply chain bliss,（创建）完美供应链的唯一诀窍
The phone would simply be too large to accommodate for both,若设计成 4.3英寸显示屏，再加上键盘所需的额外空间，此款手机的体积显然就会过于庞大
a technical committee and charter,技术委员会以及宪章
a transfer service,转录店
a trojan dialler of Premium SMS application,免费 SMS 应用程序中（夹带）的木马拨号程序
a victim of its own success,因其本身的成功而受害
a well-established field,发展成熟的领域
a worldphone-capable 3G radio,支持全球漫游的3G无线电装置
about a dozen,十余人次
about us,关于我们
the proper header,适当的域名前缀
the star is gold,小星星是金色的。
there is no provision to,无法
abstracts,集成
accelerate server virtualization benefits,加速实现服务器虚拟化的好处
accept,接受
access to source code,有权使用源代码
accessibility,辅助功能
account for,对付
account for,造成了，可以解释
account for inflation,计入通货膨胀因素
accountability,砫ヴ耴妮
accounting,统计/审计
accounts,客户/用户
accounts for,考虑到
accrue to,有益于
accurate yield analysis,准确的成品率分析
"achieve, maintain and demonstrate compliance in virtual environments",实现、保持及证明合规
acquire and deacquire,已定位/已取位; 已除位/已消位
across,针对
Across the board price hike,全面提价；全面涨价
there just wasn’t enough there,功能不够全面/新颖有趣
There’s a large can of worms lurking there,这些数学运算中潜藏着许多复杂问题
there’s been no corollary for deep learning,目前尚无针对深度学习的方法/推论/建议
tick-tock cycle,工艺年-架构年周期
time to production,开发时间过长
to account for that,正因如此/为此/因此
To get fancy,为了更深入一点
to standard out,（生成）标准输出报告
to that effect,诸如此类
toll bypass,长话旁路
took the GitLab fat-finger pill,“吃错了药，使出一招GitLab乌龙指”
affiliate marketing,合作营销（行销）
affiliates,会员/成员
aftermarket,配套的
aftermarket car audio shops,汽车音响零部件商店
aftermarket firmware,售后固件
against,在......环境下
age such elements,使这些元件的工作状态趋于稳定
Agent,代理软件
Actionable outcomes,可行的结果
Actions reveal more than words,行动比言语更能说明问题
active,在职的
active,经常更新的
active digitizer,感应式手写板光标定位网格
Active Directory,活动目录/动态目录
active secondary network connection,主动性次级网络
active/active cluster,活动/活动集群
ActiveX controls,activeX控件
added up fast,汇总额迅速上升
address,应对，解决......的问题
address it explicitly,给予明确说明
address space,地址空间
administrative management,系统管理
top-pedigree,顶尖的
total information awareness,领悟（领会）全面（整体、全方位）信息
tracked with,与......趋势一致
transistor budgets,晶体管裕度
trap statistics,陷阱统计
tuck away,携带
turn the framework on its side,从新的角度审视旧的框架
turned some heads,引人注目
twice as challenging,难度加倍
Typo Squatting,蓄意错误拼写
unilateral agreement,单方面认同
universal latch hood,通用卡锁机盖
value proposition,价值定位
VLAN-spaghetti,杂乱的VLAN
volume of traffic,(业务/网络)流量
walk away,中止合同
wallet items,钱包财物
we got a steady trickle,我们观察到为数不多、较为稳定的转储现象。
artwork pipeline,美工设计流程
as,作为...
as far as,到---为止
as the shining example of how to do identity,作为如何建立身份识别系统的好榜样
As they stand,就其本身而言
as tight as a death grip,过度用力握住
as uneven or just plain bad as the habits of PC users may be,尽管 PC 用户们有着简直糟糕（不够安全）或是不太具有规律的习惯
aggressive,高昂、兴奋、亢奋、进取
aggressive longitudinal program,庞大的追踪调查项目
agile journey has come full circle,划上了圆满的句号。
ahead data,预先读取数据；提前读取数据
aiming to the side,水平横放
Alert Article,Alert刊载的文章
aligned,校准一致的
All bets are on.,所有的赌注都已压上(所有能采取的措施都已采取)
All interactions …… occurs over SSH.,…… 的互操作，都通过 SSH 协议来实现。
all over the board,杂乱无章
all over the map,极为不同的
all over the map,原有的
all over this trend,走在这股潮流的前沿
All the data lined up,数据齐备
all the hullabaloo for something,大做文章，大惊小怪
All up,总之
all you i's are dotted and t's are crossed,办事要一丝不苟
allocate the costs back to the business,把成本分摊回业务部门
an incremental tool,增量工具/(功能)累加性工具
"an internal rate of return of 2,300 percent",2300%的内部收益率
an online presence,存在于互联网上
Analysis Services cube,分析服务多维数据集
anamorphic silicon,非晶硅
anchor,控制处理
anchor pads,固定盘
anchor store,核心商店
as well as salve for governance pain,除了缓解治理难题外
as with,与。。。一样，正如
as written,~{HgIh<F~}(~{;r3LPr~})~{KyV86(~}
assembly placement,程式集放置
assign memory-hogging blame to programs,找出占用大量内存的程序
assimilate,获取
associate vice chancellor,副校长
associate vice president,协理副校长
associated with,混在一起
assuming,假设
Astroturfing,制造虚假人气的作法
at any one point in time,在任一时刻
at line level,线路电平强度
at one-millimeter intervals,1毫米扫描间距
at scale,大规模
at the far flung edges,在最远边缘的
At the mid-point of our fourth quarter guidance,位于第四季度收益预期的中间点
at the plug,插头处
allow the window to remain active in the ground,讓這個視窗在後面繼續活動
along,沿...
and every time the user gets a new PC,There's no errors.
and it showed,而这一点很显然。
and more data at that,比先前更多的数据
and that level of clearance,相应行医资质
And that may be the best job security of all.,那也许是大家有活干的最好保证
and that's by design,而这是有意为之
And that’s a valid impression,而你这个感觉没错。
and then just try it,然后只需运行它就是了
and they proliferate quickly,ָworms and viruses
and those kind of net each other out.,这些因素互相抵消
another instance of MS-DOS,另一个 MS-DOS 实例
another networking fix,另外一种联网产品/解决方案
anti-hacking jamming device,反黑客干扰装置
anti-thrash filter,"防止连续拍击(或翻跳, 扭动)的过滤器"
any,protected data
any more than,这与苹果不会因 IOS 发展迅猛就放弃其 Mac OS X 业务是一个道理
Any way you cut it,无论什么情况发生...
appliance edition,设备版
appliances,（硬件）设备
at their peril,冒险/自担风险
attribute retrievers,属性检索器
attributes/properties,属性/属性
Audio-only FaceTime calls,Face Time 纯语音通话
audit finding,审计结果
authorization logic,授权逻辑
"Automatically, from the sound of things.",听上去，还是要走自动化的路子。
average out,抵消
Azusa,阿苏萨
修饰指代,修饰的是the Durbin Amendment
冲正,reversing an entry
“Costco” style,"""好士多""式的/超市卖场式"
“death by a thousand cuts” scenario,该死的
"‘wish I hadn’t’, ‘glad I did’, ‘had to’",“后悔”、“满意”、“必要”
back,机架背板
back-end,后端
back-fill,后备（人员）；接替（人员）
Back-out plan,逆序操作计划
backbone,支撑着
backlight aperture,透光孔径
Backsourcing,撤回外包
backward penalty,反向惩罚
baking into,应用于/融入
Bank-Verlag Köln GmbH,银行出版社科隆公司
along the lines of,类似；之类的
also encrypted,volume headers
alter ego,密切相关领域
alternating with drawers of computers,与计算机抽屉交替放置
Always grasp the cable by the connector you are inserting,插拔电缆时，始终要握住连接器
always-on,不间断的、无中断的
an assertion authority,主张/断言/声明的单位（/机构）
an endless spin cycle,死循环
an ensemble of gas molecules,气体分子集合
application investments,已投入（或已投资）的现有微软应用程序
apply,应用/采用
approaching IT with,通过...实施/实现....
architecture,企业架构
Archive,檔案/文件
are known to,已知的
are suddenly jumped half a cycle,突然被向前调了半个周期
area,（相机图像传感器）面积
aren’t starved,不至于无事可干/待机过长
art book,画册
artifact,假影
artificial,有点主观
artist tape,美工胶带
Banners and identification,各公告栏与标识
barely-there,初露曙光
baseline your network,为网络建立基准
batching techniques,批处理技术
batteries included,开箱即用
battery's cells,电池芯
Battlefield 2 might be one of the most impractical games to benchmark,利用電腦遊戲進行 benchmarking 時，battlefield 2 是最不切實際的選擇之一
be comfortable that,存储设备的可靠性必须让人放心
be known to have implemented,会被认为已实施了
be local to the device,本地存储
be relied upon to run themselves,不需要太多投入
bearing policy implications,具有策略意义/蕴意/意涵
beating their chests,不甘示弱
because of the lack of electric infrastructure,由于充电基础设施并未普及（所以特斯拉不方便）
because these are all available over the network,因为这些都是网络上提供的现有功能
"an equal measure of patience, research and ingenuity",用户不但要耐心，不但要具备研究能力，同时还得拥有聪明才智
an identical archive instance,文档中相同的条目
an immediate trigger,立即触发
because you want users in the enforcement loop,让用户参与执法环节
become a peer-level concern with speed and functionality,像速度和功能一样成为大伙关心的问题
become economies unto themselves,本身成为经济体
becomes tantamount,变得同样重要
becoming the new you,冒充你的身份
before a good idea leaves the room,刚刚有了好思路、好想法
Before it’s time for,在...之前
BEHAVIOR,性能
Bell Helicopter Textron,德事隆贝尔直升机公司
bellwether,先兆
benchmark,比较
benchmarking,基准测试
benefits statements,福利表
best analytically,最有分析价值的（变量）
better functional composition,更好的功能组合
Between them,两个加起来
a fingerprint pad,指纹仪
a First World Problem of the greatest order,第一世界的头等重要问题
A focused team effort,集中的团队力量
a fraudulent source,欺诈的来源
a full ratio of,各种
a functionally exposed mapping subprocess,功能暴露/公开的映射子进程
a Google appliance,Google搜索设备/工具
a heuristic,一套方法/原则
a key locking paradigm,关键的锁定范例
a la carte approach,按需选择策略
a large page-frame model,大页帧模型
a library is thought in cold storage,图书馆是思想的冷藏室
a little answering to do for,需要好好地解释一下/说明一下
a little cranky to get going,初始安装调试比较麻烦
a magical number,魔法数
a matter of proportion,程度的区别
a micro-optical parallax barrier,微光视差格栅
a Microsoft venue,微软的地盘； 微软的专属途径
a nice fluffy cloud,网络云图
a pharmacy automation vendor,制药自动化系统供应商/厂商
a product does role definition,产品进行角色定义
a reasonable sleeper,睡眠还可以
a regular communicant,经常上教堂的圣餐教友
a replica data center,备份数据中心
wearable proc­essors,佩戴式处理器
whistling past the graveyard,借吹口哨壮胆
whole mount,大切片
will be enhancements to,将是对...的补充/(语音)增值服务
winced at,感到不满
wired joysticks,有线游戏手柄
wireless communication badges,无线通讯徽章/徽章式无线通讯器
with a shocking totality,以惊人的市场份额
a security zone rating that it enforces,执行的安全区等级
a senior staff engineer,高级主管工程师
a sentence,很准确地选择目的中的顾客
a shadowy inauguration,低调处理/不事声张的发行仪式
a shielded connector block with signal labeled BNC connectors,FYI
a significant margin of management,管理方面相当大的灵活性
a single combination,单一用户名/密码组合
a single SNMP exchange,一次SNMP信息交换
a sketching language,磞瓃粂ē
a slave to,迷恋
a snappy flip-microphone power mechanism,便捷的翻盖麦克风电源开关机制
a social network wall or space,社交网站的空间或者留言板
a solid value proposition,货真价实的价值主张
a stub of a tab,一个突出显示的书签图标
a substantial minority,相当大的少数
a target,备份目标（系统）
with IP options set,设定/设置了IP选项的
with no changes,原样接受
Wizard of Oz experiment,“绿野仙踪”实验
works from,可使用于...； 在...上都有效
yield from talking about,避开/放弃
you can like yourself too much,自我感觉好过了头
zero-day feeds,零时差更新
"zero-down, zero-payments",免首付、2012年之前免付款
"""Draw Step""",绘制步骤
"""medium offer""",“中等报价”和”最佳报价“
$deity help you,门都没有
'money bomb,筹款风暴
'Who do I know that knows what I need to know?,我认识的人里有谁明白我要知道的（事吗）？
... is “part and parcel with the cloudy future of the data center” ...,……在未来这些与云计算密不可分的数据中心环境里 ……
12 goes to copy one of the algorithm,算法的第一个拷贝
1st Level Support,一级支持
20 percent provider fees at risk,20%的提供商费用作为违约金
264 pixels per inch,就是每英寸264像素
"a ""services"" delivery business",提供服务的业务部门
a 100MHz base clock deficit,一个100MHz基准率频之差
a blessing and a curse,是福也是祸
a business reality,作为一个商业现实
a channel component,渠道伙伴
a circuit within that bandwidth,不高于该带宽的电路
a clean start,从头启动；全新启动；全新开始
a closed-door leadership session,非公开的领导能力研讨会
a cluster duck,烂透了/一塌糊涂/一团糟
a collaborator in a big way developing standards,在开发标准方面IBM很大程度上也是合作者
a comfy fit,佩戴舒适、贴耳
a differently structured role,迥异的职能结构
A fault line runs beneath the groundswell,暗流涌动
a file share,文件共享系统/平台
business community,业务部门用户
business delivery,业务创收
business judgment,商/企业决策
business modularity,业务模块化
business of software,软件业务
bust out,冲出/突破（牢笼/小环境等）
But it's still nice to point to a base product.,但是向顾客展示/讲解/提及/介绍基本产品也是好的。//向顾客介绍基本型产品仍不失一种好方法/良策
but not the active tools,而不同步您正在使用的应用程序
but the fun is just beginning,但好戏才刚刚开始
But the nature of that help isn't what might be imagined.,但这种帮助的实质可能并非如人们（客户）想象的那样
But we don't want to be caught.,免得自己措手不及
But why would you,为什么这样做/何必这样做
butt-covering exercise,推卸责任
buttoned up,有保障
buy into,选择
buy into Apple’s universe,接受（认同）苹果的一切
by,Redundant
by delivery only,仅限于送货/送货价
By using the higher voltage 220 vs. 110 power,用较高的220伏而不是110伏电压
cabinet-level cooling,机箱级冷却
cable,电缆
cable TV hub,有线电视集线器
calculated data,处理过的数据
calculus,=calculation
calibrating the perfect role profile,详细说明理想的职位候选人背景
call-in number,专线电话号码
campaign trail,竞选之路
can be skinned to,可以使用皮肤以
can't afford to wait for,等不起
can’t,不能
Candlewood Suites,烛木酒店
candy in the sky,不切实际的想法
canvas,画布
can\'t get here fast enough,远水解不了近渴
capable,功能强大的
capacity-efficient,容量高效利用的
Capitalization is as it appears,大写就象例句中显示的那样
capitalized,看成资本
capshun,添加说明文字
carbon footprint,碳排放量
brag about it,讲清楚
brand accompaniments,品牌强化举措/品牌伴生（补充）产品
brands,品牌商
breach disclosure law,泄密信息披露法/信息泄密披露法
bread-crumb trail,一些线索
breadbox PC,面包盒微机
break,击碎
break apart a piece of the business,分拆一部分业务(包给outside developers做)
break it out,专门/单独列出
beyond the period during which you expect to use it,预期的使用期之后
BI is still on a project-by-project basis,BI仍是以具体项目为单位/仍是基于具体项目的
biasing,偏向性/倾向性
Big Data economy,大数据系统
billing,账单管理
bin,档次/级别
card-not-present transactions,不用出示信用卡的交易
Cardinal Logistics Management Corporation,卡地纳物流管理公司
carriers,电信运营商
carry case,便携包
carry over,不清零
carve outs,子频段
cascade,级联
case tracker,项目跟踪（器/工具/系统）
breakaway,抢占先机
bring over,改用
bring to,所具备的
bringing predictability to our company’s use of IT,使我们公司的IT使用具备可预测性
brings a strong service provider perspective to,将明显的服务商观点带来
bristle at,对...来气/对...发怒/对...生气
broad outlines,大致情况
broadband backscatter devices,宽频带后向散射装置
brought up short,打退堂鼓/止步不前
brown and silver,褐色与银白色
browse to pages,浏览到的是使用编辑链接更新的网页
budget acquisition process,预算过程/预算申请流程/预算程序/预算流程
budget availability,预算（提供）额
budget-friendly,经济的/有利于预算的
build,版本
build,设置；配置
build a pipeline of innovations,建立一条不断创新的途径
Build in time,要留出足够时间
bits and bytes,具体的技术问题
Blackberry,黑莓
blanket advertising,地毯式广告
blanking panels,挡板
blew the lid off of extensibility,揭开了FoxPro数据库扩展的面纱/开放了FoxPro数据库扩展权限
blindly check off,盲目选择
bloated DLL-swapping syndrome,动态链接库交换数据过于频繁
block ciphers,块状密码器
Block Exemption Regulation,集体豁免条例
Blockchain – Decentralization or Bust?,区块链：去中心化还是泡沫破灭？
blocked access to SATA ports,挡住了SATA端口，把SATA端口挡住了
Blog feeds,博客（资源）种子
blogs and wikis,网志和维基
blotter menu,流水记录菜单
blow away plists,搞定plist属性列表文件
Blow it out,搞得大些；做得大点儿
cases,实例
cash chargebacks,现金退款
cast-out buffer,快速输出缓冲区（器）
cataloging,编目
catch-up,赶上（速度）
catching something off a laptop,从笔记本感染什么病毒
cattle brand,牲畜烙印
build management,构建管理
build VoIP headroom into your network plans,在网络规划中给VoIP预留一席之地
building in telemetry,内置遥测功能
building on,这类公司发展的主要成本是
building on,扩充
builds in the name of the website,包含网站名称
bump with,遇到
bumper,减震器
Bureau of Emergency Preparedness Response,紧急事务快速反应局
burn,刻录(烧盘)
burning though,烧光/烧完
bus connector,总线连接器
Business capability mapping,业务能力结构图，业务能力架构图
blow the doors off,比...好多了
blown-up version,放大的
board of trustees,董事会
boat anchor,无用之物
body shopping,专业代工(專業代工)
bonus content,额外内容
bookend the consolidation rich year,这两个重要的合并就是开始与结束了有很多合并的一年
bookmarklet,小书签
boom,搞定！（用在句子末尾表示事情的成功结束，与voila、there you go等同义）
boot,清除
border-to-border,全市范围
borg,混合体
borrow labels from,借用（某人）的话说
Bots,bots是一个程序，不用译
bound the problem,給問題找出上下限
bound to,绑定
boundary rules,界限规则 / 规定界限
bounds of a long,长整数的范围
