en,zh-hant,zh-hans
data alignment,資料調正,
data alignment network,資料調正網路,
data alphabet,資料字符,
data analysis,資料分析,數據分析
data analysis and classification,資料分析與分類,
data analysis and processing,資料分析與處理,
data analysis and reduction system,資料分析與縮減系統,
data analysis and technique development center,資料分析與技術開發中心,
data analysis console,資料分析控制台,
data analysis control,資料分析控制,
data analysis database,資料分析資料庫,
data analysis display unit,資料分析顯示單元,
data analysis facility,資料分析設施,
data analysis program,資料分析程式,
data analysis recording tape,資料分析記錄磁帶,
data analysis software,資料分析軟體,
data analysis system,資料分析系統,數據分析系統
data analysis technique,資料分析技術,
data analysis tool,資料分析工具,
data and address bus,資料與位址匯流排,
data and computation center,資料與計算中心,
data and control bus,資料與控制匯流排,
data and research technology corporation,資料與研究技術公司,
data and structure definition language,資料與結構定義語言,
data antidependence,資料不相關性,
data area,資料區,
data area data structure,資料區資料結構,
data area number,資料區號碼,
data area offset,資料區偏置,
data array,資料陣列；資料組,
data article requirements,資料技術論文需求,
data assembly,資料組合,
data assembly and checking circuit,資料組合與檢查電路,
data associative message,資料結合訊息,
data attribute,資料屬性；數據屬性,數據屬性
data authentication,資料鑑定,
data automatic reduction equipment,資料自動縮減設備,
data automatic rescheduling technique,資料自動再排程技術,
data automatic system,資料自動處理系統,
data automation,資料自動化,
data automation equipment,資料自動化設備,
data automation requirement,資料自動化需求,
data automation research and experimentation,資料自動化研究與實驗,
data automation subsystem,資料自動化子系統,
data auxiliary set,資料輔助集,
data available,可用資料,
data bank,資料銀行；資料庫,（泛）數據庫;數據銀行
data bit interval,資料位元間隔,
data bit period,資料位元週期,
data bit,資料位元,
data bits per character,每字元資料位元數,
data block,資料塊,
data block buffering,資料塊緩衝,
data block length,資料塊長度,
data book,資料簿,
data break,資料間斷,
data break cycle,資料間斷週期,
data break transfer,資料間斷轉移,
data breakpoint,資料中斷點,
data bucket,資料桶,
data buffer,資料緩衝器,
data buffer control,資料緩衝區控制,
data buffer register,資料緩衝區暫存器,
data buffering,資料緩衝,
data bulk,資料量,
data bus,資料匯流排,數據總線
data bus buffer,資料匯流排緩衝,
data bus component,資料匯流排組件,
data bus controller,資料匯流排控制器,
data bus coupler,資料匯流排耦合器,
data bus driver,資料匯流排驅動器,
data bus enable,資料匯流排允許,
data bus enable in,資料匯流排允許輸入,
data bus latch,資料匯流排閂,
data bus status,資料匯流排狀態,
data bus,資料匯流排,
data byte buffer,資料位元組緩衝,
data cable,數據電纜,
data cache,資料快取記憶區,數據高速緩存
data call,資料呼叫,
data calling,資料呼叫,
data capacity,資料容量,
data capsule,資料容器,
data capture,資料擷取,
data capture and management system,資料擷取與管理系統,
data capture speech synthesis,資料擷取語音合成,
data capture system,資料擷取系統,
data card,資料卡,
data card deck,資料卡疊,
data carrier,資料載體；資料記錄媒體,
data carrier detector,資料載體檢測器,
data carrier failure detector test,資料載體故障檢測器測試,
data carrier storage,資料載體儲存器,
data cartridge,資料匣,
data cartridge drive,資料匣驅動,
data cassette,資料卡式磁帶；資料卡式磁帶機,
data cell drive,資料格驅動機,
data cell unit,資料格單位,
data cell,資料格,
data center,資料中心,
data center control,資料中心控制,
data chain,資料鍊,
data chain control station,資料鍊控制站,
data chaining,資料鍊接,
data channel,資料通道,數據通道
data channel bandwidth,資料通道頻寬,
data channel converter,資料通道轉換器,
data channel cycle,資料通道週期,
data channel cycle stealing,資料通道週期竊用,
data channel interrupt,資料通道中斷,
data channel multiplexer,資料通道多工器,
data channel received line signal,資料通道接收線信號,
data character,資料字元,
data character set,資料字元集,
data characteristics table,資料特性表,
data check,資料檢查；資料檢驗,
data checking,資料檢查；資料檢驗,
data circuit,數據電路,
data circuit connection,數據電路連接,
data circuit equipment,數據電路設備,
data circuit switch system,數據電路交換系統,
data circuit switching equipment,數據電路交換設備,
data circuit switching system,數據電路交換系統,
data circuit terminating equipment,數據電路終端設備,數據電路終接設備
data circuit termination equipment waiting,數據電路終止設備等待,
data circuit termination equipment,數據電路終止設備,
data circuit transparency,數據電路透通性,數據電路透明性
data clamp,資料鉤,
data class,資料類別,
data clause,資料子句,
data clock separator,資料時鐘分離器,
data clothes,資料服裝,數據服裝
data code,資料（代）碼,
data code conversion,資料代碼轉換,
data code in telecommunication,（資料）碼（在電信方面）,
data code set,資料代碼集,
data code telecommunication conversion,資料碼電信轉換,
data code translation,資料代碼翻譯,
data coding system,資料編碼系統,
data collection and analysis,資料收集與分析,
data collection and processing system,資料收集與處理系統,
data collection channel,資料收集通道,
data collection device,資料收集裝置,
data collection facility,資料收集設施,
data collection method,資料收集方法,
data collection methodology,資料收集方法學,
data collection phase,資料收集階段,
data collection platform,資料收集平台,
data collection satellite,資料收集衛星,
data collection station,資料收集站,數據收集站
data collection system,資料收集系統,
data collection terminal,資料收集終端機,
data collection,資料收集,數據匯集
data collision,資料碰撞,
data command,資料命令,
data common,資料公用,
data communication adapter,數據通訊配接器,
data communication channel,數據通訊通道,
data communication configuration,數據通訊組態,
data communication control,數據通訊控制（器）,
data communication control procedure,數據通訊控制程序,
data communication control unit,數據通訊控制單元,
data communication equipment,資料通訊設備,
data communication exchange,資料通信交換,
data communication facility,數據通訊設施,
data communication I/O exchange,數據通訊輸入輸出交換,
data communication input/output,數據通訊輸入輸出,
data communication interface,數據通訊介面,
data communication interface card,數據通訊介面卡,
data communication line,數據通訊線路,
data communication monitor,數據通訊監視器,
data communication multiplexer,數據通訊多工器,
data communication network,數據通訊網路,
data communication network architecture,數據通訊網路架構,
data communication network facilities,數據通訊網路設施,
data communication operating system,數據通訊作業系統,
data communication output selector,數據通訊輸出選擇器,
data communication processing environment,數據通訊處理環境,
data communication processor,數據通訊處理機,
data communication program communication block,數據通訊程式通訊塊,
data communication protocol,數據通訊協定,
data communication read,數據通訊讀出,
data communication service,數據通訊服務,
data communication station,數據通訊站,
data communication system,數據通訊系統,
data communication terminal,數據通訊終端機,
data communication to disc control,數據通訊至磁碟控制,
data communication user,數據通訊用戶,
data communication,資料通訊；數據通訊,數據通信
data communications buffer,數據通訊緩衝區,
data compaction,資料壓緊,
data compaction technique,資料壓緊技術,
data comparator,資料比較器,
data compatibility,資料相容性,
data compilation,資料編譯,
data complementation,資料互補,
data complexity,資料複雜性,
data component,資料組件,
data compression,資料壓縮,
data compression technique,資料壓縮技術,
data computer,數據計算機,
data concentration,資料集中,
data concentration formatting,資料集中格式化,
data concentrator,資料集中器；數據集中機,數據集中器
data concentrator and distributor,資料集中器與分配器,
data concurrency,資料並行性,
data conferencing network,資料會議網路,
data conferencing repeater,資料會議中繼器,
data connection,資料連接,
data connector,資料連接器,
data consistency,資料一致性,數據一致性
data constant,資料常數,
data constraint,資料約束,
data construction,資料構造,
data contamination,資料污染,
data control,資料控制,
data control block,資料控制塊,
data control clerk,資料控制辦事員,
data control group,資料控制組,
data control interval,資料控制區間,
data control language,資料控制語言,數據控制語言
data control unit,資料控制單元,
data control utility,資料控制公用程式,
data controller,資料控制器,
data conversion code,資料轉換碼,
data conversion hybrids,資料轉換併合電路,
data conversion language,資料轉換語言,
data conversion line,資料轉換線,
data conversion utility,資料轉換公用程式,
data conversion,資料轉換,
data converter,資料轉換器,
data coordinating committee,資料協調委員會,
data coordinator,資料協調者,
data coordinator and retriever,資料協調與檢索器,
data correction,資料校正,
data correctness,資料正確性,
data correlation and documentation system,資料相關與文件系統,
data correlator,資料相關器,
data corruption,資料惡化,數據腐爛
data count field,資料計數欄,
data count printout,資料計數列印出,
data coupler,資料耦合器,
data coupling,資料耦合,
data cycle,資料週期,
data deck,資料疊,
data declaration,資料宣告,
data declaration statement,資料宣告敘述,
data definition command,資料定義命令,
data definition facility,資料定義設施,
data definition language,資料定義語言,*數據定義語言
data definition language utility,資料定義語言公用程式,
data definition name,資料定義名稱,
data definition statement,資料定義敘述,
data definition,資料定義,
data delay,資料延遲,
data delimiter,資料定界符,
data demand protocol,資料需求協定,
data density,資料密度,數據密度
data dependence,資料相依,數據依賴
data dependence graph,資料相依圖,
data dependence relation,資料相依關係,
data dependence test,資料相依測試,
data dependency,資料相依,
data dependency theory,資料相依理論,
data description,資料描述,
data description clause,資料描述子句,
data description entry,資料描述項,
data description in a language,語言中的資料描述,
data description language,資料描述語言,數據描述語言
data description library,資料描述程式館,
data description skeleton,資料描述骨架,
data description specification,資料描述規格,
data descriptor,資料描述符,
data design,資料設計,
data design layout,資料設計布局,
data destination address,資料目的位址,
data detection,資料檢測,
data detection window,資料檢測視窗,
data dictionary,資料字典,數據字典
data dictionary assembler,資料字典組合程式,
data dictionary directory,資料字典目錄,
data dictionary package,資料字典套裝軟體,
data diddling,資料欺騙,數據欺詐
data digital audio tape,DAT磁帶,"數據數字音頻磁帶, *DAT磁帶"
data digital handling,資料數位處置,
data directed control,資料有向控制,
data directed formatting,資料有向格式化,
data directed inference,資料引導的推理,
data directed input/output,資料有向輸入輸出,
data directed output,資料有向輸出,
data directed reasoning,資料有向推理,
data directed transmission,資料有向傳輸,
data direction register,資料方向暫存器,
data directory,資料目錄,數據目錄
data display,資料顯示,
data display alarm,資料顯示警報,
data display board,資料顯示板,
data display center,資料顯示中心,
data display indicator,資料顯示指示器,
data display module,資料顯示模組,
data display selection,資料顯示選擇,
data display station,資料顯示站,
data display unit,資料顯示單元,
data distortion,資料失真,
data distributing channel,資料分配通道,
data distribution,資料分配,數據分布
data distribution center,資料分配中心,
data distribution phase,資料分配階段,
data distributor,資料分配器,
data diversity,資料多樣性,數據多樣性
data division,資料部門,
data division entry,資料部門入口,
data division syntax,資料部門語法,
data dominated system,資料支配的系統,
data drawing list,資料繪畫列表,
data driven,資料驅動,數據驅動
data driven analysis,資料驅動分析,數據驅動型分析
data driven machine,資料驅動機,
data dump,資料傾印,
data dumper,資料傾印程式,
data edition,資料編輯,
data element,資料元件,數據元
data element chain,資料元件鍊接,
data element descriptor,資料元件描述符,
data element dictionary,資料元件詞典,
data element dictionary/data directory committee,資料字典／資料目錄委員會,
data element value,資料元件值,
data enable,資料賦能,
data enablement,允許資料,
data encapsulation,資料封閉性,數據封裝
data encoding system,資料編碼系統,
data encrypting key,資料加密鍵,
data encryption,資料加密,
data encryption algorithm,資料加密演算法,數據加密算法
data encryption key,資料加密鍵,數據加密密鑰
data encryption standard,資料加密標準,數據加密標准
data encryption standard algorithm,資料加密標準演算法,
data encryption standard,資料加密標準,
data encryption subroutine,資料加密次常式,
data end command,資料結束命令,
data entity,資料實體,
data entry,資料登錄,數據錄入
data entry control,資料登錄控制,
data entry device,資料登錄裝置,
data entry error,資料登錄錯誤,
data entry facility,資料登錄設施,
data entry format,資料登錄格式,
data entry function,資料登錄功能,
data entry language,資料登錄語言,
data entry library,資料登錄程式館,
data entry mode,資料登錄模式,
data entry order number,資料登錄命令號碼,
data entry panel,資料登錄板,
data entry program,資料登錄程式,
data entry reporting system,資料登錄報告系統,
data entry segments,資料登錄段,
data entry station cluster,資料登錄站群集器,
data entry summary record,資料登錄彙總記錄,
data entry system,資料登錄系統,
data entry system controller,資料登錄系統控制器,
data entry terminal,資料登錄終端機,
data entry utility,資料登錄公用程式,
data entry,資料登錄,數據錄入
data envelope,資料包封,
data environment,資料環境,數據環境
data error,資料誤差,數據差錯
data error detection,資料錯誤檢測,
data error processing,資料錯誤處理,
data error recorder,資料錯誤記錄器,
data escape character,資料逸出字元,
data evaluation,資料評估,
data event,資料事件,
data examination,資料檢查,
data examination clerk,資料檢查辦事員,
data exception,資料異常,
data exchange area,資料交換區,
data exchange command,資料交換命令,
data exchange control,資料交換控制,
data exchange interface,資料交換介面,
data exchange network,資料交換網路,
data exchange program,資料交換程式,
data exchange service,資料交換服務,
data exchange system,資料交換系統,
data exchange unit,資料交換單元,
data exchange,資料交換,
data extend block,資料擴充塊,
data extraction,資料萃取,
data fetch,資料提取,
data field,資料欄位,
data file,資料檔案,
data file class,資料檔案類型,
data file communication,資料檔案通訊,
data file content,資料檔案內容,
data file converter,資料檔案轉換器,
data file descriptor,資料檔案描述符,
data file descriptor record,資料檔案描述符記錄,
data file generation,資料檔案產生,
data file generation and maintenance,資料檔案產生及維護,
data file maintenance,資料檔案維護,
data file program,資料檔案程式,
data fitting,資料配適,
data flow,資料流；資料流程,數據流
data flow analysis,資料流分析,數據流分析
data flow anomaly,資料流異常,
data flow chart,資料流程圖,
data flow computer,資料流計算機,
data flow computer architecture,資料流電腦架構,
data flow concept,資料流概念,
data flow control layer,資料流控制層,
data flow control,資料流程控制,
data flow database machine,資料流資料庫機,
data flow dependency,資料流相依,
data flow diagram,資料流程圖,
data flow format,資料流格式,
data flow graph,資料流程圖,數據流圖
data flow instruction,資料流指令,
data flow language,資料流語言,數據流語言
data flow methodology,資料流方法論,
data flow model,資料流模型,
data flow monitor,資料流監視器,
data flow multiprocessor,資料流多處理機,
data flow operator,資料流運算子,
data flow oriented design,資料導向設計,
data flow partition method,資料分割法,
data flow procedure,資料流程序,
data flow procedure language,資料流程序語言,
data flow processor,資料流處理機,
data flow program,資料流程式,
data flow resource manager,資料流資源管理器,
data flow semantics,資料流語意學,
data flow structure,資料流結構,
data flow supercomputer,資料流超級電腦,
data flow token,資料流符記,
data flux reversal,資料通量反轉,
data form,資料表格,
data format,資料格式,數據格式
data format conversion,資料格式轉換,數據格式轉換
data format item,資料格式項,
data format statement,資料格式敘述,
data formatting,資料格式化,
data formatting error,資料格式化錯誤,
data formatting statement,資料格式化敘述,
data frame,資料框,數據幀
data free way,資料快速通路,
data function keyboard,資料功能鍵盤,
data gate,資料閘,
data gather system,資料收集系統,
data gathering,資料收集,數據匯集
data gathering machine,資料收集機,
data gathering problem,資料收集問題,
data gathering set,資料收集設備,
data gathering system,資料收集系統,
data generation,資料產生,
data generator,資料產生器,
data glove,資料手套,數據手套
data group,資料組,
data half word table,資料半字表,
data handing,資料處理,數據處理
data handler,資料處置器,
data handling,資料處置,
data handling capacity,資料處置容量,
data handling component,資料處置組件,
data handling machine,資料處置機,
data handling procedure,資料處置程序,
data handling recording system,資料處置記錄系統,
data handling system,資料處置系統,
data handling utility,資料處置公用程式,
data hazard,資料冒險,數據沖突
data head,資料頭,數據[磁]頭
data header,資料標頭,
data hierarchy,資料階層,
data highway,資料高速公路,數據高速通道
data hold,資料保持,
data hold time,資料保持時間,
data host,資料主機,
data identification,資料識別,
data identifier,資料識別符,
data imperfection,資料不完全,
data in voice,語音內資料,
data independence,資料獨立性,數據獨立性
data independence accessing model,資料獨立存取模型,
data independency,資料獨立性,
data independent access model,資料獨立存取模型,
data information,資料資訊,
data information line,資料資訊線路,
data information system,資料資訊系統,
data initialization statement,資料初始化敘述,
data initiated control,資料啟動控制,
data input bus,資料輸入匯流排,
data input clerk,資料輸入辦事員,
data input consoles,資料輸入控制台,
data input device,資料輸入裝置,
data input display console,資料輸入顯示控制台,
data input display,資料輸入顯示（器）,
data input enable,資料輸入允許,
data input pin,資料輸入插腳,
data input station,資料輸入站,數據輸入站
data input unit,資料輸入單元,
data input,資料輸入,
data inquiry terminal,資料查詢終端機；資料詢問終端,
data inscriber,資料記錄器,
data inserter,資料插入程式,
data integrity,資料完整性,數據完整性
data integrity block,資料完整塊,
data integrity protection,資料完整性保護,數據完整性保護
data interaction,資料交互作用,
data interchange,資料交換,
data interchange code,資料交換碼,
data interchange format,資料交換格式,
data interchange processor,資料交換處理機,
data interchange system,資料交換系統,
data interface,資料介面,
data interrogation language,資料訊問語言,
data interrupt,資料中斷,
data invariant,資料不變,
data inventory,資料庫存,
data item,資料項,數據項
data item description,資料項描述,
data item dictionary,資料項字典,
data item group,資料項組,
data item level,資料項等級,
data item management system,資料項管理系統,
data item occurrence,資料項出現,
data item separator,資料項分隔符,
data item synthesis,資料項合成,
data item type,資料項型式,
data item validation,資料項驗證,
data item value,資料項值,
data jack,資料插孔,
data key,資料鍵,
data keyboard,資料鍵盤,
data language,資料語言,
data layout,資料布置,
data layout sheet,資料布局表單,
data leakage,資料洩漏,
data length,資料長度,
data level,資料等級,
data level access,資料等級存取,
data level check,資料等級檢查,
data library,資料館,
data library system,資料館系統,
data limit protection,資料極限保護,
data limit register,資料極限暫存器,
data link,資料鏈；數據鏈路,數據鏈路
data link adapter,資料鏈路配接器,
data link address,資料鏈路位址,
data link attached loop,資料鏈附接迴路,
data link configuration,資料鏈路組態,
data link connection,資料鏈路連接,數據鏈路[層]連接
data link control bootstrapping,資料鏈路控制啟動,
data link control character,資料鏈控制字元,
data link control layer,資料鏈路控制層,
data link control protocol,資料鏈接控制協定,
data link control standard,資料鏈結控制標準,
data link control,資料鏈控制,
data link encryption,資料鏈路加密,
data link entity,資料鏈實體,
data link escape character,資料鏈逸出字元,
data link escape,資料鏈逸出,
data link interface,資料鏈路介面,
data link layer,資料鏈路層,數據鏈路層
data link level,資料鏈層次,
data link mapping,資料鏈接對映,
data link multiplexer,資料鏈路多工器,
data link protocol,資料鏈協定,
data link receiving set,資料鏈接接收集,
data link role,資料鏈結角色,
data link support,資料鏈路支援,
data link terminal,資料鏈路終端機,
data list element,資料列表元素,
data list file,資料串列檔案,
data list,資料列表；資料列,
data literal,資料文字,
data locality,資料局部性,數據局部性
data location,資料位置,
data locking,資料鎖定,
data logger,資料登入器,
data logger checker,資料登入核對器,
data logging,資料登錄,數據錄入
data logging and transmission system,資料登錄與傳輸系統,
data logging system,資料登錄系統,
data logging transducer,資料登錄轉換器,
data logic,資料邏輯,
data loop transceiver,資料迴路收發器,
data maintenance,資料維護,
data management block,資料管理塊,
data management comprehensive facility,資料管理綜合設施,
data management host language statement,資料管理主機語言敘述,
data management language,資料管理語言,
data management portion,資料管理部分,
data management program,資料管理程式,數據管理程序
data management programming system,資料管理程式設計系統,
data management service,資料管理服務,
data management software,資料管理軟體,
data management statement,資料管理敘述,
data management system host language interface,資料管理系統主機語言介面,
data management system,資料管理系統,
data management utility,資料管理公用程式,
data management,資料管理,數據管理
data manager control structure,資料管理器控制結構,
data manager feature,資料管理器特徵,
data manager,資料管理器,
data manipulation,資料調處,
data manipulation facility,資料調處設施,
data manipulation instruction,資料調處指令,
data manipulation language,資料調處語言,數據操縱語言
data manipulation language processor,資料調處語言處理機,
data manipulation operation,資料調處作業,
data manipulation performance,資料調處效能,
data manipulation protocol,資料調處協定,
data manipulation routine,資料調處常式,
data manipulator,資料調處器,
data manipulator network,資料調處器網路,
data map,資料映像,
data mapping,資料映,
data mapping language,資料映像語言,
data mark,資料標示,
data mart,資料市場,數據集市
data materialization,資料具體化,
data matrix,資料矩陣,
data mechanism,資料機構,
data media,資料媒體,數據介質
data medium,資料媒體,數據媒體
data medium protection device,資料媒體保護裝置,數據媒體保護裝置
data message switching system,資料訊息交換系統,
data message transfer system,資料訊息傳送系統,
data message,資料訊息,
data migration,資料遷移,
data mining,資料探勘,"數據采掘, *數據挖掘"
data mode,資料模式,
data mode escape,資料模式逸出,
data model,資料模型,數據模型
data model entity,資料模型實體,
data modem,資料數據機,
data modularization,資料模組化,
data module,資料模組,數據模件
data monitor,資料監視器,
data monitoring system,資料監視系統,
data move instruction,資料移動指令,
data movement,資料移動；資料移動過程,
data movement instruction,資料移動指令,
data movement verb,資料移動動詞,
data moving system,資料移動系統,
data multiplexer,資料多工器；數據多工器,數據[多路]復用器
data multiplexer system,資料多工器系統,
data name directory,資料名稱目錄,
data name,資料名稱,
data net,資料網,
data net console message,資料網控制台訊息,
data net control module,資料網路控制模組,
data network,數據網路；資料網路,數據網
data network identification code,數據網路識別碼,數據網標識碼
data network with satellite,衛星數據網路,
data number,資料號碼,
data object,資料目標,
data operation,資料運算,
data organization,資料組織,數據組織
data oriented design technique,資料導向設計技術,
data origination,資料起源,數據初始加工
data output,資料輸出,
data output dependency,資料輸出相依,
data output register,資料輸出暫存器,
data output switch,資料輸出開關,
data over voice,語音加載資料,
data overrun,資料超出；資料覆蓋,
data ownership,資料所有權,
data package,資料套裝軟體,
data packet,資料包,
data packet acknowledgement,資料包應答,
data packet size histogram,資料包大小直方圖,
data pad,資料墊,
data panel,資料面板,
data parallelism,資料數據平行性,數據并行性
data part,資料部分,
data partition,資料數據分區,
data partitioning,資料數據劃分,數據划分
data path,資料路徑,數據通路
data path organization,資料路徑組織,
data path organization exception,資料路徑組織異常,
data path parallelism,資料路徑平行性,
data pathing,資料路徑,
data pathway,資料路徑,
data pattern,資料型樣,
data phase,資料階段,
data photo detector,資料光檢器,
data physics,資料物理學,
data pickup,資料拾波器,
data pilot,資料引導,
data plotter,資料繪圖器,
data point,資料點,
data polynomial,資料多項式,
data pool,資料池；資料集用場,
data pool common storage,資料池公用儲存,
data pool dictionary entry format,資料池字典登錄格式,
data pool editor,資料池編輯器,
data pool editor audit trail format,資料池編輯器審計存底格式,
data pool editor file assignment,資料池編輯器檔案指定,
data pool editor input data format,資料池編輯器輸入資料格式,
data port,資料埠,
data portability,資料可攜性,
data positioning,資料定位,
data positions,資料位置,
data preparation,資料準備,
data preparation clerk,資料準備辦事員,
data preparation supervisor,資料準備監督器,
data preprocessing,資料預處理,
data presentation,資料表達,
data presentation device,資料表達裝置,
data privacy,資料私密,
data process,資料處理,數據處理
data processing,（資料）處理,數據處理
data processing capability,資料處理能力,
data processing center,資料處理中心,數據處理中心
data processing conversational mode,資料處理交談模式,
data processing cycle,資料處理週期,
data processing department,資料處理部門,
data processing department organization,資料處理部門組織,
data processing equipment,資料處理設備,
data processing interface,資料處理介面,
data processing inventory,資料處理庫存,
data processing machine,資料處理機,
data processing management,資料處理管理,
data processing node,資料處理節點,
data processing problem,資料處理問題,
data processing project engineer,資料處理專案工程師,
data processing security,資料處理安全,
data processing service,資料處理服務,
data processing services industry,資料處理服務工業,
data processing standard,資料處理標準,
data processing station,資料處理站,
data processing system security,資料處理系統安全,
data processing system,資料處理系統,數據處理系統
data processing task,資料處理任務,
data processing technique,資料處理技術,
data processing terminal,資料處理終端機,
data processing unit,資料處理單元,
data processing,資料處理,數據處理
data processor,資料處理器,
data proliferation,資料增長,
data protection,資料保護,數據保護
data protection authority,資料保護權限,
data protection convention,資料保護規約,
data purging,資料清除,
data purification,資料淨化,
data qualification and retrieval,資料限定與檢索,
data quality,資料品質,
data quantity,資料量,
data quantizer,資料量化器,
data query,資料查詢,
data query system,資料查詢系統,
data query system installation,資料查詢系統安裝,
data radio,資料無線電通訊,
data rate,資料速率,
data rate to bandwidth ratio,資料比對頻寬比,
data reader,資料閱讀機,
data ready,資料備妥,
data ready flag,資料備妥旗標,
data realm,資料領域,
data rearrangement,資料重安排,
data receive exchange,資料接收交換機,
data receive,資料接收；資料接收機,
data receiver,資料接收器,
data reconstruction,資料重建,數據重建
data record,資料記錄,
data record clause,資料記錄子句,
data record control,資料記錄控制,
data record format,資料記錄格式,
data record size,資料記錄大小,
data recording amplifier,資料記錄放大器,
data recording and processing system,資料記錄及處理系統,
data recording control,資料記錄控制,
data recording device,資料記錄裝置,
data recording media,資料記錄媒體,
data recording system,資料記錄系統,
data recording system analyst,資料記錄系統分析員,
data recording,資料記錄,
data records bypassed,資料記錄略過,
data records transferred,資料記錄轉移,
data recovering,資料恢復,
data recovery,資料恢復,
data reducer,資料縮減器,
data reduction center,資料縮減中心,
data reduction control,資料縮減控制,
