en,zh-hant,zh-hans
preanalysis,預分析,
preassigned multiple access satellite system,預分配多重存取衛星系統,
preassigned multiple access,預分配多重存取,
preauthorization,預授權,
prebilling,預收帳,
preburning,預燒,
precedence,在先,
precedence constraint,居先約束,優先約束
precedence grammar,居先文法,
precedence notation,在先記法,
precedence record,在先記錄,
precedence rules,在先規則,
precedence table,在先表,
preceding,前導,
precharge,預收費,預充電
precise interrupt,精確中斷,
precise lock,精確鎖,
precise scalar product,精確純量乘積,
precision,精度；精密度,精度
precision analog computing equipment,精度類比計算設備,
precision artwork language,精度原圖語言,
precision graph recorder,精度圖記錄器,
precision infrared tracking system,精度紅外線追蹤系統,
precision navigation processor,精度導航處理機,
precision ratio,精度比,
precoding,預編碼,預編碼
precompiler,預編譯器,預編譯程序
precompiler program,預編譯器程式,
precondition,先決條件,前[置]條件
precondition analysis,先決條件分析,
precondition of production rule,生產規則的先決條件,
preconfigured system definition,預配組系統定義,
precoordinate index,預協調索引,
precoordination,預協調,
predecessor,前導子,前驅站
predecessor activity,前導子活動率,
predecessor value,前導子值,
predefine,預定義,
predefined,預定義,
predefined message,預定義訊息,
predefined priorities method,預定義優先法,
predefined process,預定義過程,
predicate,述詞,謂詞
predicate calculus,述詞演算,謂詞演算
predicate calculus logic,述詞演算邏輯,
predicate converter,述詞轉換器,謂詞轉換器
predicate letter,述詞字母,
predicate logic,述詞邏輯,謂詞邏輯
predicate symbol,述詞符號,謂詞符號
predicate use,述詞使用,判定使用
predicate variable,述詞變數,謂詞變量
predicate/transition system,述詞/遷移系統,謂詞-變遷系統
predicted control,預測控制,預測控制
predicted values,預測值,
prediction,預測,
prediction error covariance,預測誤差協方差,
predictive analysis,預測分析,
predictive analyzer,預測分析器,
predictive coding,預測編碼,預測編碼
predictive control,預測控制,
predictive differential quantizer,預測微分量化器,
predictive rule,預測規則,
predictor,預測子,
predictor corrector,預測校正器,
preedit,預編輯,
preediting,前編輯,
preemphasis,預強調,
preemption,佔先,搶先
preemptive multitasking,佔先式多任務,搶先多任務處理
preemptive resource,佔先資源,
preemptive schedule,佔先排程,搶先調度
preferred character set,優選字元集,
preferred class,優選類別,
prefetch,預取,預取
prefetch buffer,預取緩衝,
prefetching,預提取,
prefetching technique,預取技術,預取技朮
prefilter,前置過濾器,
prefix,前置；前綴,前綴
prefix code,前置碼,
prefix expression,前置陳式,
prefix method,前綴法,
prefix method synchronization,前綴法同步,
prefix notation,前置記法,
prefix operator,前置運算子,
prefix property,前置性質,前綴性質
preformat,預先格式化,
preformed leads,預成形引線,
pregenerated operating system,預生作業系統,預生成操作系統
preindexing,預加索引,
preintermediate frequency amplifier,前置中頻放大器,
preliminary design,初步設計,概要設計
preliminary investigation,初步調查,
preliminary qualification testing,初步資格測試,
preliminary review,初步查核,
premise,前提,前提
prenex normal form,前束正規形式,前束范式
prenex-conjunctive normal form,合取正規形式,
prenex-disjunctive normal form,前束合取正規形式,
prenex-normal form,前束正規形式,
prenormalize,預規格化,
preorder,前序,前序
preout,前輸出,
preparation,準備,
preparatory function,預置功能,
preplanned allocation,預先計畫分配,預先計划分配
preposition group case,介詞組情況,
prepreg,半固化片,
preprinted,預列印,
preprocessed text,預處理本文,
preprocessing,預處理,
preprocessing data,預處理資料,
preprocessor,預處理機；前置處理器,預處理程序
preprocessor control lines,預處理機控制線,
prepunched,預打孔,
prepunched card,預打孔卡,
preread disturb pulse,預讀干擾脈波,
preread head,預讀頭,預讀磁頭
prerecorded data medium,預錄資料媒體,
prerequisite,先決條件；必備條件,
prerequisite list,先決條件表,
prescheduled algorithm,預排程演算法,預調度算法
preselection,預選,
presence bit,顯示位元,
present data value,表現資料值,
present next digit,顯示下一個數位,
present value saving,現值節省,
presentation,表達；演示,
presentation context,表達上下文,
presentation context identifier,表達上下文識別符,
presentation data value,表達資料值,
presentation direction,書寫方向,書寫方向
presentation entity,表達實體,
presentation graph,表達圖形,
presentation graphic,表達圖形,
presentation graphic routines,表達圖形常式,
presentation layer,表達層,表示層
presentation level,表現層,
presentation manager,呈現管理程式,
presentation of personal computer instructional system,個人計算機教授系統之演示,
presentation service access point,表達服務存取點,
presentation service data unit,表現服務資料單元,
presentation services layer,表達服務層,
presentation software,簡報軟體,
presentation style,表達式樣,
preserve,保留,
preserved context index system,保留上下文索引系統,
preset,預設,
pre-set,前集,前集
preset automatic equalizer,預設自動等化器,
preset code,預設碼,
preset parameter,預設參數；預置參數,
preset tool,預設工具,
press,壓；出版社,
press bond,壓接,
pressure control,壓力控制,
pressure gas,壓縮氣體,
pressure switch,壓力開關,
pressure transmitter,壓力傳輸器,壓力變送器
prestaging,預先放置,
Prestel,Prestel電傳視訊系統,
Prestel information center,Prestel資訊中心,
prestore,預存,
prestored microprogram,預儲存微程式,
prestored query,預存查詢問,
presumptive address,推測位址,
presumptive instruction,推測指令；推定指令,
prevailing mode,佔優模式,
prevalue,預置值,
prevarication,推諉,
preventive maintenance,預防維護,預防性維護
preventive maintenance management,預防維護管理,
preventive maintenance management program,預防性維修管理程式,
preventive maintenance scheduling,預防維護排程,
preventive maintenance scheduling system,預防維護排程系統,
preventive maintenance time,預防維護時間,
preview and graphics editing,預演與圖形編輯,
previewer,預驗程序,預覽程序
previewing,預驗,
previous,前,
previous annual forecast,前年度預測,
previous work center,前工作中心,
prewire,預連線,
prewrite compensation,預寫補償,寫前補償
price break,價格分段,
price break conversion factor,價格分段轉換因數,
price break literal,價格分段文字,
price differentiation,價格差異,
price discount/markup code,價格折扣／加成碼,
price performance,價格效能,
pricing hierarchy,定價階層,
pricing methods,定價方法,
pricing structure,定價結構,
primal cluster,第一叢集,
primary,主；一次,
primary abort counter,主要異常中止計數器,
primary access method,主存取法,
primary application block,主應用段,
primary attribute,主屬性,
primary center,主中心,
primary character set,主字元集,
primary circuit,主電路,
primary cluster,主叢集,
primary clustering,主叢集,
primary color,原色,原色
primary colors,原色,
primary communication attachment,主通信附屬裝置,
primary console,主控制台,主控台
primary control program,主控制程式,
primary control unit,主控制單元,主控制器
primary copy,主副本,主副本
primary dictionary,主字典,
primary directory,主目錄,
primary entry point,主入口點,
primary expression,主表式,
primary expression operator,主表式運算子,
primary failure,主故障,
primary file,主檔案,
primary frequency,主頻率,
primary I/O device,主輸入輸出裝置,
primary index,主索引,
primary input,主輸入,初級輸入
primary key,主鍵,主[鍵]碼
primary lock,主鎖,
primary logical unit,主邏輯單位,
primary memory unit,主記憶體單元,
primary operator control station,主操作員控制站,
primary output,主輸出,初級輸出
primary overlay description language,主覆蓋描述語言,
primary paging device,主分頁裝置,主分頁設備
primary password,主通行碼,
primary path,主路徑,
primary processor,主處理機,
primary program operator interface task,主程式操作員介面任務,
primary protocol,主協定,
primary protocol error,主協定錯誤,
primary rack,主架,
primary rate,主速率,
primary rate interface,主速率介面,
primary root,主根,
primary routing code,主選路碼,
primary run-time system,主運行時間系統,
primary segment,主段,主段
primary set,主集,基本集
primary station,主站；主要站,主站
primary storage,主儲存；主儲存器,
primary support system,主支援系統,
primary switching center,主交換中心,
primary terminal address,主終端位址,
primary timeout category,主逾時種類,
primary vector,主向量,
primary vision,初級視覺,初級視覺
primary word,基本詞,基本詞
prime area,質數區域,
prime attribute,主屬性,主屬性
prime field,質場,
prime implicant,主蘊含項,
prime integer,質數,
prime load code,主載入碼,
prime number,質數,
prime option menu,主選項單,
prime quote,主報價,
prime record key,主記錄鍵,
primitive,基元；原始,圖元
primitive attribute,基元屬性,圖元屬性
primitive data,基元資料,
primitive data item,基元資料項,
primitive deduction,基元演繹,本原演繹
primitive display pointer,原始顯示指標,
primitive element,基元元件,
primitive flow table,基元流程表,
primitive operation,基元運算,
primitive polynomial,基元多項式,
primitive problem,原始問題,
primitive recursive function,原始遞迴函數,原始遞歸函數
primitive recursive predicate,原始遞迴述訪,
primitive state table,基元狀態表,
primitive subroutine,基元次常式,
principal,主用者,
principal component analysis,主要成分分析,
principal device,主要裝置,
principal idea,主要概念,
principal ideal ring,主要理想環,
principal maintenance period,主要維護週期,
principal plane,主要計劃,
principal point,主要點,
principal register set,主暫存器集,
principle group,原則群組,
principle item,選擇原則,
principle of exclusion,互斥原理,
principle of least privilege,最小特權原則,最小特權原則
principle of limit design,極限設計原理,
principle of locality,局部性原理,
principle of optimality,最佳化原則,
print,列印；印,
print attribute,列印屬性,
print barrel,列印桶,
print character generator,列印字元產生器,
print contrast ratio,列印反襯比,
print contrast signal,列印反襯信號,
print control character,列印控制字元,
print control unit,列印控制單元,
print density,列印密度,
print device,列印裝置,
print drum,列印磁鼓,打印鼓
print file,列印檔案,
print form,列印表格,印刷體
print format,列印格式,
print formatter,列印格式器,
print function,列印功能,
print head,列印頭,打印頭
print hold state,列印保留狀態,
print image,印影像,
print information form,列印資訊表格,
print intercept routine,列印截取常式,
print job configuration,列印工件組態,
print line,列印行,
print line buffer address register,列印行緩衝器位址暫存器,
print line buffer,列印行緩衝器,
print line density,列印行密度,
print list,列印列表,
print member,列印機件,
print mode,列印模式,
print out,列印出,
print pattern generator,列印型樣產生器,
print position,列印位置,
print position density,列印位置密度,
print preview,預覽列印,打印預覽
print processor,列印處理機,
print quality,列印品質,打印質量
print quality standard pattern,列印品質標準型樣,
print queue,列印佇列,
print restore,列印復原,
print screen key,列印螢幕鍵,
print server,列印伺服器,打印服務器
print setting,列印設定,
print settings menu,列印設定選項單,
print speed,列印速率,
print spooler,列印排存器,
print spooling,列印排存,
print start,列印起始,
print start bit,列印起始位元,
print suppression,列印抑制,
print through,列印通過,透錄
print value,列印值,
print wheel,列印輪,打印輪
print zones,列印區,
print/plot option,列印／繪圖選項,
printable group,可列印群,
printable item,可列印項,
printed circuit assembly,印刷電路組合,
printed circuit block,印製電路板,
printed circuit board fabricating processes,印刷電路板製造過程,
printed circuit board partition,印刷電路板劃分,
printed circuit board socket,印刷電路板插座,
printed circuit board test language,印刷電路板測試語言,
printed circuit board,印刷電路板,
printed circuit card,印刷電路卡,
printed circuit connector,印刷電路連接器,
printed circuit edge connector,印刷電路板插座,
printed circuit generator,印刷電路產生器；印刷電路生成程序,
printed circuit soldering,印刷電路焊接,
printed circuit,印刷電路,
printed Hanzi recognition,印刷體漢字識別,印刷體漢字識別
printed-circuit board,印刷電路板,"印制電路板, *印制板"
printer,列印機,印刷機
printer buffer,列印機緩衝區,
printer communications adapter,列印機通信配接器,
原文,臺灣用語,大陸用語
printer control block,列印機控制塊,
printer control command,列印機控制命令,
printer control key,列印機控制鍵,
printer control keyword,列印機控制關鍵字,
printer control language,列印機控制語言,
printer control markers,列印機控制標誌,
printer control mode,列印機控制模式,
printer engine,印表機引擎,打印機機芯
printer error,列印機錯誤,
printer file,列印機檔案,
printer form,列印機表格,
printer interface,列印機介面,
printer margin,列印機邊際,
printer mechanism,列印機機制,
printer number,列印機號碼,
printer operation,列印機操作,
printer plotter,列印繪圖機,
printer server,列印機伺服器,
printer setting,列印機設定,
printer sharing,列印機分享,
printer skipping,列印機跨越,
printer spacing chart,列印間距圖,
printer station,列印站,
printer status field,列印機狀態欄,
printer status message,列印機狀態訊息,
printer table,列印機表,
printer terminal,列印終端機,
printer type,列印機類型,
printer unoperable state,列印機非操作狀態,
printer/display layout,列印機／顯示器格式,
printing,列印,
printing calculator,列印計算器；列印計算機,
E beam,電子束,
E beam bonding,電子束焊,
E layer,電離層,
E notation,E表示法,
E register,擴充暫存器,
E type compensation,E型補償,
E value,E值,
E. L. cell,場致發光單元,
earliest starting time,最早起動時間,
early date,早期日期,
early failure,早期失效,早期失效
early installation support,早期安裝支援,
early processing,早期處理,
early programming language,早期程式設計語言,
early support program,早期支援程式,
early vision,早期視覺,初級視覺
early warning,預警,
early warning signal,預警信號,
early warning system,預警系統,
earnings,盈餘；收入,
earth ground,大地,"大地, *地球地"
earth landing system,著地系統,
earth station,地面站,
earth station disks,地面站碟,
earth switch,接地開關,
earthing conductor,接地導體,
East Asian character codes,東亞字元碼,
East Asian character sets,東亞字元集,
easy axis,易磁化軸,
easy processing channel,易處理通道,
easycoder to COBOL,COBOL簡易編碼器,
printing document form,列印文件表格,
eaves dropping,竊聽,
eavesdropping,竊聽,竊聽
EBCDIC code,EBCDIC碼,
EBL,說明為本的學習,基于解釋[的]學習
EC,電子商務,電子商務
EC level,工程變更層次,
ECA rule,事件-條件-動作規則,"事件-條件-動作規則, *ECA規則"
ECB,事件控制塊,事件控制塊
ECC,錯誤檢查與校正,差錯校驗
ECC,錯誤校正碼,糾錯碼
ECC,橢圓曲線密碼系統,橢圓曲線密碼體制
Eccles-Jordan circuit,愛克士約丹電路,
Eccles-Jordan trigger,愛克士約丹觸發器,
echo,回應；回音,回送
echo,回訊（電腦圖形的）,
echo attenuation,回音衰減,
echo back,回音返回,
echo cancellation,回音消除,
echo check,回波核對,回送檢驗
echo control,回音控制,
echo mode,回波模態,
echo off,回送關閉,回送關閉
echo on,回送開放,回送開放
echo plex,回送叢,
echo suppressor,回音抑制器,
echo talker,回音干擾,
printing equipment,列印設備,
print-punch editor,印打編輯器,
print-through,列印通過,透錄
print-wheel assembly,印輪組合,
print-wheel printer,印輪列印機,
prior,先,
prioritization,優先,
priority,優先,優先級
priority adjustment,優先調整,優先級調整
priority bit,優先位元,
priority calculation limits,優先計算極限,
priority control,優先控制,優先級控制
priority control sequence,優先控制順序,
priority dispatching,優先調度,
priority encoder,優先序編碼器,
priority indicator,優先序指示器,
priority interrupt,優先中斷,優先級中斷
priority interrupt control unit,優先中斷控制單元,
priority interrupt control,優先中斷控制,
priority interrupt module,優先中斷模組,
priority job,優先作業,優先級作業
priority list,優先表,優先級表
priority number,優先數,優先數
priority of high frequency [words],高頻[字詞]優先,高頻[字詞]先見
priority of high frequency word,高頻詞優先,
priority of the latest used word,最後使用詞優先,
priority of the latest used words,最近使用字詞先見,最近使用字詞先見
priority oriented demand assignment,優先導向需求指定,
priority phase,優先相,
priority processing,優先處理,
priority program flipflop,優先程式正反器,
echoplex,回送方式,回送方式
echoplex mode,回送模,
ECL,射極耦合邏輯,射極耦合邏輯
econometric model,計量經濟模型,計量經濟模型
econometric software package,計量經濟套裝軟體,
economic analysis,經濟分析,
economic feasibility,經濟可行性,經濟可行性
economic information system,經濟資訊系統,經濟信息系統
economic inventory procedures,經濟庫存程序,
economic life,經濟生命,
economic lot size,經濟批量,
economic model,經濟模型,經濟模型
economic order quantity,經濟訂購量,
economic ordering quantity,經濟訂購量,
economical order quantity,經濟訂購量,
E-cycle,E週期,
EDA,電子設計自動化,電子設計自動化
EDB,工程資料庫,工程數據庫
EDC,錯誤檢測碼,"檢錯碼, *差錯檢測碼"
edge,邊緣,邊緣
edge connector,邊緣連接器,[插件]邊緣連接器
edge cover,邊覆蓋,邊覆蓋
edge detection,邊檢測,邊緣檢測
edge detection operator,邊檢測運算子,
edge enhancement,邊緣增強,邊緣增強
edge extracting,邊緣擷取,邊緣提取
edge fault,邊緣故障,邊緣故障
edge finding,邊緣找尋,
edge fitting,邊緣配適,邊緣擬合
edge focusing,邊緣聚焦,邊緣聚焦
edge generalization,邊緣概括,邊緣泛化
edge illusory,邊緣錯覺,邊緣錯覺
priority queue,優先佇列,優先隊列
priority resolver,優先分解器,
priority scheduler,優先排程器,
priority scheduling,優先排程,優先級調度
priority scheduling system,優先排程系統,
priority selection,優先選擇,優先級選擇
priority-arbitration circuit,優先裁定電路,
privacy,隱私,
privacy breath,隱私氣息,
privacy clearance,私密間距,
privacy consideration,私密考慮,
privacy key,隱私鍵,
privacy lock,隱私鎖,
edge image,邊緣圖像,邊緣圖像
edge lighted display,邊緣發光顯示器,
edge linking,邊緣連接,邊緣連接
edge matching,邊緣匹配,邊緣匹配
edge notched card,刻緣卡（片）,
edge operator,邊緣運算子,邊緣算子
edge perforated card,邊緣打孔卡,
edge pixel,邊緣像素,邊緣像素
edge punched card,邊緣打孔卡（片）,
edge receptacle,邊插座,
edge segmentation,邊緣分段,邊緣分割
edge trigging,邊緣觸發,邊沿觸發
edgeboard connector,邊緣板連接器,
edge-triggered clocking,邊緣觸發計時,邊緣觸發時鐘
EDI,電子資料交換,電子數據交換
EDI for administration,行政商業運輸電子數據交換標準,"政商運電子數據交換[標准], *跨行業電子數"
EDI forwarding,電子資料交換轉接,
EDI message,電子資料交換訊息,"電子數據交換消息, *EDI消息"
EDI message responsibility,電子資料交換訊息回應性,
EDI messaging,電子資料交換處理,"電子數據交換消息處理, *EDI消息處理"
EDI messaging system,電子資料交換系統,
EDI notification,電子資料交換通知,
EDI service,電子資料交換服務,
EDIFACT,電子資料交換協會,
EDIM,電子資料交換訊息,"電子數據交換消息, *EDI消息"
EDIMG,電子資料交換訊息,"電子數據交換消息處理, *EDI消息處理"
Edison,Edison語言,
edit,編輯,編輯
edit buffer,編輯緩衝器,
privacy of user's identity,用戶識別隱私,用戶標識專用
privacy procedure,隱私程式,
privacy protection,隱私保護,專用保護
privacy transformation,隱私變換,
private,"私用, 專用","私用, *專用"
private automatic branch exchange,私用自動分支交換,專用自動小交換機
private automatic computer exchange,私用自動電腦交換,
private automatic exchange,私用自動交換機,
private branch exchange final selector,用戶交換機終選器,
private branch exchange,私用分支交換,
private cache,私有快取,私有高速緩存
private circuit,私用電路,
private circuit digital data service,私用電路數位資料服務,
private data,專用數據,
private data network,專用數據網路,專用數據網
private delimiter,私用定界符,
private electronic exchange,私用電子交換,
private jack,專用插座,
private key,專用鍵,私鑰
private key,專用鍵,
private library,專用程館,
private line arrangement,專線安排,
private line interface,專用線路介面,
private line service,專線服務；專線業務,
private line typewriter,專線打字機；專線電傳打字機,
private line,專用線；專線,
private management domain,專用管理領域,
private manual branch exchange,私用人工分支交換,
private network,專用網路,
edit control character,編輯控制字元,
edit directed input/output,編輯式輸入輸出,
edit directed stream I/O,編輯導引輸入輸出流,
edit lines command,編輯行命令,
edit mode,編輯模態,
edit routine,編輯常式,
edit string,編輯字串,
edit symbol,編輯符號,
editable stored program,可編輯儲存程式,
editing,編輯；編排,
editing character,編輯字元,
editing clause,編輯子句,
editing environment,編輯環境,
editing input data,編輯輸入資料,
editing key,編輯鍵,
editing mode,編輯模態,
editing routine,編輯常式,
editing subroutine,編輯次常式,
editing values,編輯屬性數值,
editing window,編輯視窗,
edition,版；編輯,
editor,編輯器；編輯程式,"編輯程序, *編輯器"
editor card,卡片編輯器,
editor function,編輯器功能,
editor linkage,鏈結編輯器,
editor math,數學編輯器,
editor menu,編輯器選項單,
editor mode,編輯模態,
editor print-punch,印打編輯器,
editor punch-print,打印編輯器,
EDL,事件定義語言,事件定義語言
private section,專用區段,
private style,私用式樣,
private telephone network,私用電話網路,
private use plane,專用平面,專用平面
private volume,私用卷,
private wire network,專線網路,
privated code,專用密碼,
privilege,特權,特權
privilege access,特權存取,
privileged account,特權帳戶,
privileged command,特權命令,特權命令
privileged front end,特權前端,
privileged instruction,特權指令,特權指令
privileged instruction simulation,特權指令模擬,
privileged memory operation,特權記憶體操作,
privileged mode,特權模式,特權方式
privileged process,特權處理,
EDO,擴充資料輸出,擴充數據輸出
EDP auditors' foundation,EDP稽核基金會,
EDR,電子設計規則,電子設計規則
education on demand,隨選教育,教育點播
education on information technology,資訊技術教育,
educational information network,教育資訊網路,
educational television,教育電視,
educomp time-shared operating system,教育計算機分時作業系統,
EES,託管加密標準,托管加密標准
effect of action,效應行動,
effective address,有效位址,
effective bandwidth,有效頻寬,
effective byte,有效位元組,
effective character number,有效字元數,有效字數
effective data transfer rate,有效數據傳輸率,
effective date,有效日期,
effective double-word,有效雙字,
effective frame,有效框架,
effective half-word,有效半字,
effective half-word address,有效半字位址,
effective information rate,有效資訊率,
effective instruction,有效指令,
effective noise bandwidth,有效雜訊頻寬,
effective operand address,有效運算元位址,
effective procedure,有效程序,有效過程
effective radiated power,有效輻射功率,
effective rights,有效權限,
effective signal duration,有效信號期間,
effective sound pressure,有效聲壓,
effective speed,有效速率,
privileged user,特權使用者,
proactive information center,前瞻型資訊中心,
probabilistic algorithm,機率演算法,概率算法
probabilistic arc,機率弧,概率弧
probabilistic automaton,機率自動機,
probabilistic database,機率性資料庫,
probabilistic decoding,機率解碼,
probabilistic error estimation,機率誤差估計,概率誤差估計
probabilistic logic,機率邏輯,概率邏輯
probabilistic machine,機率機,
probabilistic parallel algorithm,機率平行演算法,概率并行算法
probabilistic reasoning,機率推理,概率推理
probabilistic relaxation,概率鬆弛法,概率松弛法
probabilistic system,機率系統,概率系統
probabilistic testing,機率測試,概率測試
probability,機率,概率
probability analysis,機率分析,概率分析
probability analysis compaction,機率分析緊湊法,
probability correlation,機率校正,概率校正
probability density,機率密度,概率密度
probability density function,機率密度函數,概率密度函數
probability density function,機率密度函數,
probability distribution,機率分佈,概率分布
probability distribution function,機率分佈函數,
probability encryption,機率加密,概率加密
probability function,機率函數,概率函數
probability model,機率模型,概率模型
probability of error,錯誤機率,
probability propagation,機率傳播,概率傳播
probability space,機率空間,
effective switching field,有效開關場,
effective time,有效時間,
effective track width,有效磁軌寬度,
effective transfer rate,有效轉移率,有效傳送率
effective transmission,有效傳輸,
effective transmission rate,有效傳輸率,
effective transmission speed,有效傳輸速率,
effective utilization,有效利用率,
effective value,有效值,
effective virtual address,有效虛擬位址,
effective word,有效字,
effective word location,有效字位置,
effectiveness,效用；有效,能行性
effectivity change,有效性變更,
effectivity date,有效日期,
effector,效應器,
efficiency,效率,
efficiency algorithm,效率演算法,
efficiency Alpha factor,效率Alpha因數,
efficiency analysis,效率分析,
efficiency degradation,效率退化,
efficiency factor,效率因數,
efficiency test,效率測試,
efficient codes,有效碼,
efficient estimators,有效估計量,
efficient operation,有效操作,
efficient parallel algorithm,有效平行演算法,
efficient protocol,有效協定,
efficient resource utilization,有效資源利用,
efficient run-time code,有效運行時間碼,
efficient slave support feature,有效從屬支援特徵,
probability theory,機率理論,
probe,探針,探查
problem,問題,問題
problem analysis,問題分析,
problem analysis by logical approach,邏輯法問題分析,
problem analysis diagram,問題分析圖,
problem analysis method,問題分析法,
problem behavior graph,問題行為圖,
problem data,問題資料,
problem definition,問題定義,
problem dependent description,問題相依描述,
problem description,問題描述,
problem descriptor system,問題描述符系統,
problem determination aid,問題確定輔助,
problem determination,問題確定,
problem diagnosis,問題診斷,問題診斷
problem file,問題檔案,
problem folder,問題卷,
problem formulation,問題公式化,
problem identification program,問題識別程式,
problem input preparation,問題輸入準備,
problem input tape,問題輸入帶,
problem language,問題語言,
problem language analyzer,問題語言分析器,
problem mode,問題模態,
problem oriented language,問題導向語言,
problem program,問題程式,
efficient space management,有效（儲存）空間管理,
efficient syntax,有效語法,
efficient typesetting,有效排版,
effort,工作量,
effort measure,工作量測度,
E-format,E格式,
EFTS,電子轉帳系統,電子資金轉賬系統
EGA,彩色圖形適配器,增強[彩色]圖形適配器
egoless programming,無自我程式設計,無我程序設計
EIA communication adapter,電子工業協會通訊配接器,
EIA interface,電子工業協會介面,
EIA interface standard RS-232 B or C,電子工業協會介面標準RS－232 B或C,
EIAJ standards,日本電子工業協會標準,
Eiffel,Eiffel語言,Eiffel語言
eigenfrequency,特徵頻率,
eigenfunction,特徵函數,
eigenvalue,特徵值；特性值,
eigenvector,特徵向量,
eight bit adder,八位元加法器,
eight place,八位,
eight queens problem,八皇后問題,八皇后問題
eight-bit,八位元,
eight-bit byte,八位元位元組,
eight-bit data path,八位元資料路徑,
eight-bit system,八位元系統,
eight-digit binary number,八位元二進制數,
eight-digit number,八位數,
eight-level code,八級碼,
eight-level paper tape,八級紙帶,
eighty column card,八十行卡片,
eighty column puncher,八十行打孔機,
problem recognition,問題辨識,
problem reduction,問題歸約,問題歸約
problem reduction approach,問題歸約法,
problem reformulation,問題重組,問題重構
problem report,問題報告,問題報告
problem solver,問題解答器,
problem solving,問題求解,問題求解
problem solving expertise,問題求解專家,
problem solving system,問題求解系統,問題求解系統
problem space,問題空間,問題空間
problem state,問題態,問題狀態
problem statement analyzer,問題敘述分析器,問題陳述分析程序
problem statement language,問題敘述語言,問題陳述語言
problem status,問題狀態,
problem-oriented language,問題導向語言,面向問題語言
procedural and exception test,例行和例外測試,
procedural block,程序段,
procedural cohesion,程序內聚,
procedural command language,程序命令語言,
procedural control,程序控制,
procedural escape,程序逸出,
procedural extension,程序延伸,
procedural implementation method,程序實施方法,過程實現方法
procedural knowledge,程序知識,過程性知識
procedural knowledge representation,程序知識表示法,
procedural language,程序語言,過程語言
procedural language for integrity constraints,完整性限制的過程語言,
procedural model,程序模型,流程模型
procedural programming,程序程式設計,過程程序設計
procedural representation,程序表示,
Eihill,艾你希你資訊檢索軟體,
EIS,經濟資訊系統,經濟信息系統
EIS,主管資訊系統,經理信息系統
EISA,擴充的工業標準結構,擴充的工業標准結構
EISA bus,擴充的工業標準結構匯流排,擴充的工業標准結構總線
either symbol,任一符號,
either way communication,任一方向通訊,
either way operation,任一方向操作,
either/or circuit,或電路,
EJB,企業Java Bean,企業Java組件
eject,彈出,
eject key,彈出鍵,
ejected,跳出,
ejection,彈出,
EKG transmission,心電圖傳輸,
elaborate collaterally,並行加工,
elaboration,加工,
elapsed CPU execution time,中央處理機執行經過的時間,
elapsed processing time,處理經過時間,
elapsed time,耗時；經過時間,
elapsed time measurement,經過時間測量,
elapsed time value,經過時間值,
elapsed timer,經過計時器,
elastic buffer,彈性緩衝器,
elastic memory distributor,彈性記憶分配器,
elastic store,彈性儲存器,
elasticity,彈性,
election,選擇,
electret,駐極體,
electric,電,
